epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.436167,0.246840,0.380253,0.185525,0.313745,0.160835,0.408539,0.148825,0.160795,0.268829
1,0.327296,0.177733,0.406185,0.145502,0.291913,0.146668,0.392006,0.141326,0.146692,0.253851
2,0.310750,0.165778,0.398399,0.140987,0.281302,0.139491,0.388340,0.137927,0.139534,0.245791
3,0.300757,0.159060,0.393252,0.137764,0.273556,0.134624,0.381959,0.135113,0.134634,0.239537
4,0.294443,0.154588,0.387637,0.135979,0.268874,0.131671,0.376802,0.133435,0.131711,0.235868
5,0.290739,0.151632,0.384698,0.135260,0.267414,0.129720,0.375389,0.133940,0.129719,0.233206
6,0.289742,0.149286,0.385878,0.136597,0.267185,0.128883,0.373357,0.134569,0.128868,0.231923
7,0.289910,0.147537,0.387478,0.138498,0.270573,0.127755,0.380025,0.139018,0.127782,0.230604
8,0.291317,0.146186,0.389877,0.141232,0.269884,0.125724,0.380114,0.140359,0.125712,0.227474
9,0.292958,0.145147,0.393417,0.143876,0.272670,0.125356,0.385932,0.143455,0.125373,0.227203
10,0.293015,0.144214,0.395357,0.144847,0.272453,0.124601,0.387202,0.143980,0.124631,0.225906
11,0.293397,0.144085,0.396023,0.145352,0.271278,0.124607,0.383104,0.142840,0.124621,0.225889
12,0.293744,0.144010,0.396545,0.145768,0.271655,0.124662,0.383566,0.143158,0.124679,0.226000
13,0.294008,0.143960,0.396992,0.146077,0.272114,0.124441,0.384918,0.143824,0.124471,0.225725
14,0.293995,0.143823,0.397134,0.146201,0.272347,0.124438,0.386749,0.144041,0.124464,0.225706
15,0.293984,0.143804,0.397015,0.146210,0.272244,0.124465,0.385104,0.143928,0.124442,0.225651
16,0.293979,0.143812,0.397004,0.146197,0.272006,0.124393,0.385423,0.143759,0.124438,0.225615
17,0.293968,0.143779,0.397140,0.146218,0.272423,0.124537,0.387084,0.144016,0.124510,0.225750
18,0.294055,0.143790,0.397262,0.146292,0.272141,0.124437,0.385596,0.143848,0.124443,0.225659
19,0.294056,0.143785,0.397311,0.146298,0.272930,0.124392,0.388342,0.144655,0.124391,0.225551
