epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.593648,0.593648,1.000000,1.377053,1.377053,0.000000,0.000000,1.342325,0.828009
1,0.529056,0.529056,1.000000,1.210772,1.210772,0.000000,0.000000,1.208923,0.773261
2,0.488794,0.488794,1.000000,1.121913,1.121913,0.000000,0.000000,1.145673,0.747180
3,0.469216,0.469216,1.000000,1.087258,1.087258,0.000000,0.000000,1.105497,0.730602
4,0.455875,0.455875,1.000000,1.056469,1.056469,0.000000,0.000000,1.074849,0.717231
5,0.445956,0.445956,1.000000,1.019726,1.019726,0.000000,0.000000,1.051481,0.706610
6,0.438507,0.438507,1.000000,1.045149,1.045149,0.000000,0.000000,1.033602,0.698269
7,0.433681,0.433681,1.000000,1.015339,1.015339,0.000000,0.000000,1.020114,0.691711
8,0.428618,0.428618,1.000000,0.978938,0.978938,0.000000,0.000000,1.009019,0.686478
9,0.425371,0.425371,1.000000,1.011412,1.011412,0.000000,0.000000,0.999418,0.682312
10,0.421724,0.421724,1.000000,1.065964,1.065964,0.000000,0.000000,0.991893,0.678707
11,0.419048,0.419048,1.000000,0.979615,0.979615,0.000000,0.000000,0.985105,0.675750
