epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.797573,0.726646,0.996411,0.061489,2.265496,1.660384,0.993164,0.053442,1.660613,0.922206
1,1.757429,0.654666,0.995972,0.065647,2.201342,1.534732,0.992389,0.068785,1.534983,0.875311
2,1.738412,0.625258,0.995367,0.068209,2.180792,1.496167,0.991480,0.069533,1.496352,0.858448
3,1.726618,0.610291,0.994736,0.068125,2.169974,1.477032,0.990558,0.068647,1.477079,0.848462
4,1.717241,0.600110,0.994091,0.067366,2.165460,1.470270,0.989556,0.067799,1.469985,0.843247
5,1.710306,0.594689,0.993419,0.066482,2.163098,1.467687,0.988580,0.066657,1.467415,0.840505
6,1.703573,0.589645,0.992660,0.065685,2.161124,1.465817,0.987498,0.065750,1.466604,0.839038
7,1.697355,0.585575,0.991882,0.064758,2.160677,1.466813,0.986487,0.064277,1.466771,0.837979
8,1.691890,0.582889,0.991181,0.063863,2.160079,1.467445,0.985251,0.062997,1.466894,0.837366
9,1.685810,0.579036,0.990351,0.062836,2.158861,1.466884,0.984005,0.061541,1.466779,0.836623
