epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.807247,0.722005,0.852418,0.174983,1.756335,1.666168,0.901672,0.116808,1.666384,0.923906
1,0.734751,0.651136,0.836147,0.221371,1.643570,1.557479,0.860907,0.257772,1.557727,0.881902
2,0.709121,0.627389,0.817322,0.236395,1.628518,1.544715,0.838030,0.263042,1.544889,0.872932
3,0.693054,0.613384,0.796706,0.242444,1.623920,1.541997,0.819230,0.256877,1.542091,0.869130
4,0.680104,0.602322,0.777820,0.246419,1.634607,1.554770,0.798379,0.264672,1.554479,0.868943
5,0.671221,0.595029,0.761916,0.251220,1.617945,1.539449,0.784954,0.267791,1.539144,0.864498
6,0.662916,0.587849,0.750665,0.252654,1.651949,1.574471,0.774778,0.266670,1.575375,0.872594
7,0.655809,0.581483,0.743265,0.255600,1.633299,1.556199,0.771003,0.256980,1.556224,0.867001
0,0.801852,0.716060,0.857921,0.130755,1.738237,1.647951,0.902852,0.104175,1.648120,0.915765
1,0.736917,0.652298,0.846189,0.150073,1.643798,1.556733,0.870656,0.177418,1.556973,0.880991
2,0.714433,0.631258,0.831746,0.161354,1.618776,1.532754,0.860227,0.181017,1.532977,0.869009
3,0.699892,0.617761,0.821310,0.164513,1.611155,1.526637,0.845178,0.181471,1.526691,0.863599
4,0.687655,0.606783,0.808722,0.167373,1.612059,1.528987,0.830725,0.185356,1.528649,0.861185
5,0.678591,0.598862,0.797289,0.171109,1.630143,1.548027,0.821166,0.188786,1.547725,0.863225
