epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.697114,0.697114,1.000000,1.571339,1.571339,0.000000,0.000000,1.571709,0.887654
1,0.632018,0.632018,1.000000,1.520142,1.520142,0.000000,0.000000,1.520397,0.864873
2,0.611636,0.611636,1.000000,1.509326,1.509326,0.000000,0.000000,1.509305,0.856796
3,0.600523,0.600523,1.000000,1.500773,1.500773,0.000000,0.000000,1.501011,0.852773
4,0.592208,0.592208,1.000000,1.504785,1.504785,0.000000,0.000000,1.504532,0.852392
5,0.585910,0.585910,1.000000,1.514421,1.514421,0.000000,0.000000,1.514616,0.853595
0,0.697116,0.697116,1.000000,1.571328,1.571328,0.000000,0.000000,1.571697,0.887648
1,0.632023,0.632023,1.000000,1.520167,1.520167,0.000000,0.000000,1.520422,0.864838
2,0.611640,0.611640,1.000000,1.509460,1.509460,0.000000,0.000000,1.509438,0.856868
3,0.600590,0.600590,1.000000,1.501975,1.501975,0.000000,0.000000,1.502219,0.853143
4,0.592292,0.592292,1.000000,1.507070,1.507070,0.000000,0.000000,1.506828,0.852949
5,0.586173,0.586173,1.000000,1.514175,1.514175,0.000000,0.000000,1.514384,0.853690
