epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.607475,0.600658,0.681745,0.137148,0.887733,0.880635,0.709775,0.159117,1.554942,0.880804
1,0.575365,0.568895,0.647033,0.149483,0.865350,0.858685,0.666483,0.158788,1.505378,0.858723
2,0.563649,0.557544,0.610449,0.152586,0.858799,0.852557,0.624187,0.160051,1.498744,0.852511
3,0.557163,0.551410,0.575345,0.158384,0.854974,0.849103,0.587152,0.164307,1.494887,0.849192
4,0.552964,0.547464,0.549984,0.161354,0.854132,0.848530,0.560151,0.162241,1.497030,0.848385
5,0.550046,0.544752,0.529485,0.161471,0.853175,0.847806,0.536884,0.160514,1.499156,0.847898
6,0.547657,0.542507,0.515015,0.161158,0.854076,0.848818,0.525848,0.158943,1.505072,0.848931
7,0.545597,0.540553,0.504438,0.162066,0.852586,0.847481,0.510554,0.160277,1.501818,0.847315
8,0.543872,0.538917,0.495413,0.163693,0.853216,0.848239,0.497682,0.159536,1.506901,0.848165
9,0.542228,0.537339,0.488949,0.164361,0.852714,0.847797,0.491704,0.159327,1.508017,0.847700
