epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.549274,0.549274,1.000000,0.806190,0.806190,0.000000,0.000000,1.318343,0.806336
1,0.510690,0.510690,1.000000,0.786155,0.786155,0.000000,0.000000,1.277397,0.786085
2,0.498432,0.498432,1.000000,0.779417,0.779417,0.000000,0.000000,1.269183,0.779642
3,0.492302,0.492302,1.000000,0.775688,0.775688,0.000000,0.000000,1.264229,0.775637
4,0.488196,0.488196,1.000000,0.773139,0.773139,0.000000,0.000000,1.258197,0.772761
5,0.485088,0.485088,1.000000,0.771699,0.771699,0.000000,0.000000,1.260040,0.771253
6,0.482594,0.482594,1.000000,0.770064,0.770064,0.000000,0.000000,1.258886,0.770143
7,0.480614,0.480614,1.000000,0.769086,0.769086,0.000000,0.000000,1.257113,0.769048
8,0.478998,0.478998,1.000000,0.768312,0.768312,0.000000,0.000000,1.257367,0.768742
9,0.477319,0.477319,1.000000,0.768395,0.768395,0.000000,0.000000,1.260919,0.768336
10,0.476087,0.476087,1.000000,0.767608,0.767608,0.000000,0.000000,1.257074,0.767358
11,0.474699,0.474699,1.000000,0.766982,0.766982,0.000000,0.000000,1.258142,0.767078
12,0.473561,0.473561,1.000000,0.766421,0.766421,0.000000,0.000000,1.259497,0.766511
13,0.472429,0.472429,1.000000,0.767112,0.767112,0.000000,0.000000,1.262081,0.766867
14,0.471651,0.471651,1.000000,0.766936,0.766936,0.000000,0.000000,1.263404,0.767094
