epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.639242,0.548865,0.903773,0.139852,0.896126,0.807053,0.890728,0.175873,1.322398,0.807195
1,0.597665,0.511856,0.858095,0.168226,0.870105,0.787192,0.829133,0.197337,1.281858,0.787121
2,0.581103,0.499582,0.815208,0.183273,0.860220,0.781364,0.788556,0.207136,1.276354,0.781575
3,0.572083,0.493935,0.781479,0.193140,0.853676,0.778447,0.752291,0.214604,1.274023,0.778384
4,0.566037,0.490181,0.758563,0.196406,0.849008,0.775537,0.734706,0.212566,1.266173,0.775175
5,0.562091,0.487510,0.745808,0.198006,0.846551,0.774111,0.724396,0.214020,1.266801,0.773660
6,0.558989,0.485431,0.735584,0.198914,0.843484,0.771671,0.718129,0.211659,1.262168,0.771736
7,0.556509,0.483675,0.728336,0.199167,0.840974,0.769960,0.710148,0.210580,1.258240,0.769915
8,0.554277,0.482285,0.719929,0.199852,0.838010,0.768387,0.696228,0.212579,1.255926,0.768783
9,0.551054,0.480757,0.702978,0.204508,0.836794,0.768887,0.679065,0.216234,1.258917,0.768817
10,0.548996,0.479740,0.692561,0.206001,0.833894,0.767002,0.668922,0.215812,1.252029,0.766751
11,0.547100,0.478607,0.684927,0.206680,0.832937,0.766758,0.661791,0.216220,1.253510,0.766835
12,0.545718,0.477755,0.679628,0.206689,0.832679,0.767027,0.656524,0.214982,1.256177,0.767137
13,0.544326,0.476805,0.675212,0.206372,0.831987,0.766972,0.650149,0.214688,1.256155,0.766742
