epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.035986,0.583916,0.904140,0.141068,1.280187,0.886653,0.787067,0.165215,1.656189,0.886973
1,0.918437,0.563216,0.710443,0.171687,1.218798,0.880644,0.676309,0.197461,1.642576,0.880479
2,0.884881,0.558433,0.652896,0.195163,1.196906,0.875671,0.642469,0.226373,1.634305,0.875396
3,0.867327,0.555479,0.623695,0.268215,1.151918,0.872002,0.559832,0.337977,1.629882,0.872284
4,0.817300,0.552864,0.528871,0.325540,1.109107,0.870077,0.478060,0.301490,1.626351,0.869933
5,0.784301,0.550746,0.467111,0.322605,1.092040,0.868270,0.447538,0.379046,1.622378,0.868243
6,0.769536,0.549128,0.440816,0.400064,1.074749,0.867585,0.414327,0.404822,1.623107,0.867882
7,0.752544,0.548029,0.409029,0.417979,1.056485,0.864838,0.383293,0.423600,1.616039,0.864641
8,0.748256,0.546986,0.402541,0.419860,1.054127,0.863908,0.380438,0.430563,1.612167,0.863873
9,0.741704,0.546340,0.390728,0.421625,1.044254,0.862655,0.363199,0.428775,1.609018,0.862488
10,0.735430,0.545481,0.379899,0.430905,1.044102,0.861153,0.365898,0.433342,1.605960,0.861150
11,0.733771,0.545418,0.376706,0.439935,1.033358,0.861547,0.343622,0.443484,1.610946,0.861760
12,0.728438,0.544986,0.366904,0.456041,1.034659,0.862681,0.343954,0.466181,1.610080,0.862123
0,1.033867,0.584290,0.899154,0.091202,1.275042,0.889977,0.770131,0.116389,1.665079,0.890295
1,0.910488,0.563963,0.693049,0.122641,1.171571,0.880364,0.582412,0.142805,1.643222,0.880198
2,0.826190,0.558555,0.535270,0.151237,1.105239,0.877211,0.456055,0.169219,1.639986,0.876924
3,0.770494,0.555403,0.430182,0.173562,1.055729,0.871784,0.367890,0.187393,1.629326,0.872062
4,0.732807,0.552121,0.361373,0.190859,1.027511,0.871391,0.312240,0.203254,1.631206,0.871241
5,0.709154,0.550510,0.317288,0.202617,1.008274,0.868775,0.278997,0.215148,1.624873,0.868749
6,0.692430,0.548650,0.287560,0.210513,0.995060,0.867709,0.254703,0.217689,1.622332,0.867999
7,0.680648,0.547988,0.265321,0.215028,0.987779,0.867883,0.239793,0.220575,1.623400,0.867680
8,0.672263,0.546816,0.250894,0.220494,0.977798,0.865754,0.224089,0.228180,1.615029,0.865723
9,0.665653,0.546369,0.238568,0.224885,0.973431,0.865618,0.215628,0.230947,1.616077,0.865452
10,0.659932,0.545415,0.229034,0.227479,0.967059,0.862384,0.209352,0.233238,1.609446,0.862378
11,0.656027,0.545126,0.221803,0.234050,0.962200,0.861014,0.202371,0.237605,1.608179,0.861231
12,0.652332,0.544553,0.215556,0.238157,0.962875,0.863256,0.199237,0.239977,1.611566,0.862690
13,0.649792,0.544380,0.210825,0.242299,0.959171,0.861923,0.194494,0.245275,1.608796,0.861850
0,1.039148,0.584097,0.910102,0.093449,1.286256,0.888481,0.795550,0.128133,1.661258,0.888798
1,0.923091,0.563693,0.718794,0.129606,1.193422,0.880404,0.626036,0.151943,1.642086,0.880226
2,0.844736,0.557967,0.573538,0.156040,1.127473,0.874608,0.505731,0.177709,1.630140,0.874328
3,0.789278,0.554425,0.469706,0.176197,1.074710,0.868078,0.413264,0.192387,1.619117,0.868345
4,0.746425,0.551531,0.389789,0.192593,1.037362,0.868265,0.338193,0.210397,1.622867,0.868122
5,0.712366,0.549751,0.325231,0.210682,1.007708,0.866765,0.281886,0.231569,1.621984,0.866737
6,0.692194,0.548208,0.287972,0.224468,0.991246,0.864291,0.253912,0.234223,1.611493,0.864589
7,0.682016,0.547344,0.269342,0.230780,0.984948,0.863785,0.242327,0.242514,1.611590,0.863576
8,0.675162,0.546500,0.257322,0.237333,0.979652,0.862767,0.233768,0.249804,1.608998,0.862740
9,0.670473,0.546243,0.248459,0.241389,0.974677,0.861937,0.225479,0.247234,1.607540,0.861764
10,0.666135,0.545624,0.241023,0.244482,0.972274,0.862062,0.220425,0.248231,1.609008,0.862051
11,0.663197,0.545399,0.235596,0.249331,0.970450,0.861197,0.218506,0.259594,1.609170,0.861411
12,0.659654,0.544860,0.229589,0.253715,0.969069,0.862314,0.213509,0.259825,1.610244,0.861764
13,0.656472,0.544360,0.224223,0.257142,0.966368,0.861108,0.210520,0.260963,1.608181,0.861039
14,0.653438,0.543719,0.219437,0.259834,0.962666,0.860450,0.204431,0.261694,1.605042,0.860356
15,0.651187,0.543368,0.215639,0.262368,0.961033,0.859869,0.202329,0.268071,1.607319,0.859977
16,0.649096,0.542468,0.213255,0.266519,0.961421,0.859431,0.203980,0.268636,1.606483,0.859514
17,0.648623,0.541822,0.213601,0.268387,0.962480,0.859800,0.205360,0.271979,1.607192,0.860391
18,0.647623,0.542148,0.210948,0.270352,0.959777,0.858463,0.202627,0.272728,1.603495,0.858512
19,0.645651,0.541283,0.208736,0.270785,0.960378,0.859969,0.200817,0.273551,1.607863,0.859681
20,0.644840,0.541493,0.206694,0.271870,0.959139,0.859639,0.198999,0.275886,1.609370,0.859543
