epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.512948,0.512948,1.000000,0.778228,0.778228,0.000000,0.000000,1.338694,0.778361
1,0.489259,0.489259,1.000000,0.771353,0.771353,0.000000,0.000000,1.325366,0.771366
2,0.484767,0.484767,1.000000,0.768795,0.768795,0.000000,0.000000,1.321509,0.768988
3,0.482924,0.482924,1.000000,0.767581,0.767581,0.000000,0.000000,1.318313,0.767594
4,0.481324,0.481324,1.000000,0.767553,0.767553,0.000000,0.000000,1.317272,0.767183
5,0.480254,0.480254,1.000000,0.766858,0.766858,0.000000,0.000000,1.315041,0.766397
6,0.479032,0.479032,1.000000,0.765981,0.765981,0.000000,0.000000,1.315814,0.766142
7,0.478254,0.478254,1.000000,0.765876,0.765876,0.000000,0.000000,1.313453,0.765797
8,0.477674,0.477674,1.000000,0.765666,0.765666,0.000000,0.000000,1.314086,0.766152
9,0.476975,0.476975,1.000000,0.765639,0.765639,0.000000,0.000000,1.313043,0.765569
10,0.476947,0.476947,1.000000,0.765786,0.765786,0.000000,0.000000,1.312628,0.765570
11,0.476012,0.476012,1.000000,0.764961,0.764961,0.000000,0.000000,1.311837,0.765204
12,0.476201,0.476201,1.000000,0.766564,0.766564,0.000000,0.000000,1.314360,0.766757
13,0.476138,0.476138,1.000000,0.766706,0.766706,0.000000,0.000000,1.314795,0.766445
0,0.512948,0.512948,1.000000,0.778228,0.778228,0.000000,0.000000,1.338694,0.778361
0,0.512948,0.512948,1.000000,0.778228,0.778228,0.000000,0.000000,1.338694,0.778361
1,0.489259,0.489259,1.000000,0.771353,0.771353,0.000000,0.000000,1.325366,0.771366
2,0.484767,0.484767,1.000000,0.768795,0.768795,0.000000,0.000000,1.321509,0.768988
3,0.482924,0.482924,1.000000,0.767581,0.767581,0.000000,0.000000,1.318313,0.767594
4,0.481324,0.481324,1.000000,0.767553,0.767553,0.000000,0.000000,1.317272,0.767183
5,0.480254,0.480254,1.000000,0.766858,0.766858,0.000000,0.000000,1.315041,0.766397
6,0.479032,0.479032,1.000000,0.765981,0.765981,0.000000,0.000000,1.315814,0.766142
7,0.478254,0.478254,1.000000,0.765876,0.765876,0.000000,0.000000,1.313453,0.765797
8,0.477674,0.477674,1.000000,0.765666,0.765666,0.000000,0.000000,1.314086,0.766152
9,0.476975,0.476975,1.000000,0.765639,0.765639,0.000000,0.000000,1.313043,0.765569
10,0.476947,0.476947,1.000000,0.765786,0.765786,0.000000,0.000000,1.312628,0.765570
11,0.476012,0.476012,1.000000,0.764961,0.764961,0.000000,0.000000,1.311837,0.765204
12,0.476201,0.476201,1.000000,0.766564,0.766564,0.000000,0.000000,1.314360,0.766757
13,0.476138,0.476138,1.000000,0.766706,0.766706,0.000000,0.000000,1.314795,0.766445
