epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.645888,0.567186,0.787021,0.123899,0.931166,0.860464,0.707018,0.169577,1.595014,0.860760
1,0.602287,0.548359,0.539280,0.178127,0.907673,0.857900,0.497731,0.204219,1.592657,0.857743
2,0.587967,0.544040,0.439272,0.201538,0.900897,0.856322,0.445741,0.217681,1.591178,0.856047
3,0.582620,0.541689,0.409307,0.224036,0.898351,0.855608,0.427431,0.240829,1.589803,0.855893
4,0.578301,0.539190,0.391112,0.234032,0.897928,0.856977,0.409510,0.239172,1.591809,0.856822
5,0.575105,0.537666,0.374385,0.237397,0.896666,0.857365,0.393006,0.247904,1.593173,0.857324
6,0.571673,0.535770,0.359023,0.243955,0.890691,0.853058,0.376329,0.251898,1.589568,0.853350
7,0.569202,0.534786,0.344160,0.250045,0.896948,0.860539,0.364088,0.263093,1.605369,0.860325
8,0.566804,0.533455,0.333486,0.259645,0.893060,0.857622,0.354387,0.269320,1.597652,0.857578
9,0.565208,0.532502,0.327054,0.262946,0.891893,0.857137,0.347563,0.274462,1.597842,0.856979
