epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.234325,0.506411,0.808794,0.112912,1.533823,0.774513,0.843678,0.113558,1.332886,0.774645
1,1.016218,0.485823,0.589327,0.206846,1.136425,0.769283,0.407935,0.273922,1.324718,0.769287
2,0.811461,0.480588,0.367637,0.280640,1.103341,0.765540,0.375334,0.282712,1.317714,0.765721
3,0.788926,0.478120,0.345340,0.286798,1.091816,0.765185,0.362924,0.283092,1.316441,0.765218
4,0.782449,0.475873,0.340640,0.288853,1.095295,0.765939,0.365951,0.279927,1.319259,0.765569
5,0.798998,0.474487,0.360568,0.285593,1.115838,0.763720,0.391243,0.276697,1.312900,0.763271
6,0.835418,0.473202,0.402463,0.291356,1.145044,0.764922,0.422358,0.297327,1.318523,0.765071
7,0.799844,0.472033,0.364235,0.316528,1.104296,0.762483,0.379792,0.313028,1.310850,0.762390
8,0.788193,0.471320,0.352081,0.315990,1.089172,0.762009,0.363514,0.310113,1.310246,0.762485
9,0.781375,0.470628,0.345275,0.305238,1.103825,0.765225,0.376223,0.286044,1.318576,0.765171
10,0.796373,0.471012,0.361512,0.286559,1.090129,0.763157,0.363301,0.284527,1.312817,0.762951
