epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,2.605513,0.843642,0.757402,0.194181,2.490562,0.652554,0.747387,0.183480,0.651834,0.573489
1,2.542428,0.793327,0.792435,0.166268,2.447463,0.636922,0.766277,0.165071,0.636963,0.562288
2,2.497003,0.766022,0.796649,0.153144,2.409885,0.624407,0.764974,0.155429,0.624150,0.553299
3,2.459396,0.749241,0.793218,0.145218,2.382519,0.628434,0.763448,0.148233,0.628606,0.553879
4,2.424540,0.736225,0.788930,0.138736,2.355174,0.629709,0.759679,0.143123,0.629790,0.552371
5,2.389313,0.721431,0.785804,0.133228,2.328356,0.632439,0.757375,0.136652,0.632348,0.552906
6,2.355851,0.708502,0.782034,0.128900,2.303229,0.633967,0.754554,0.133555,0.634193,0.551473
7,2.322962,0.695249,0.779655,0.125653,2.275909,0.629872,0.752312,0.131500,0.629874,0.549729
8,2.291793,0.684097,0.777010,0.123010,2.252970,0.634555,0.751696,0.127638,0.634936,0.551351
9,2.261003,0.672804,0.775266,0.120878,2.230126,0.635912,0.749128,0.126250,0.635778,0.552128
