epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.552898,0.552898,0.936914,0.269499,0.295622,0.295622,0.974293,0.276817,0.295587,0.385134
1,0.511655,0.511655,0.948048,0.273192,0.274233,0.274233,0.982187,0.279830,0.274139,0.370311
2,0.484072,0.484072,0.957886,0.274302,0.266782,0.266782,0.998239,0.278132,0.265989,0.364312
3,0.468127,0.468127,0.967167,0.274026,0.256056,0.256056,1.001423,0.278200,0.256389,0.356859
4,0.453112,0.453112,0.978975,0.274847,0.248414,0.248414,1.009461,0.278122,0.248483,0.350239
5,0.436081,0.436081,0.993563,0.275709,0.240265,0.240265,1.025900,0.277930,0.240141,0.343405
6,0.426203,0.426203,1.006280,0.276968,0.236195,0.236195,1.036709,0.278586,0.236227,0.339210
7,0.417851,0.417851,1.018403,0.277934,0.231158,0.231158,1.045854,0.279793,0.231667,0.335055
8,0.410548,0.410548,1.027306,0.278676,0.229118,0.229118,1.050081,0.280378,0.229267,0.332737
9,0.404765,0.404765,1.033385,0.279059,0.228599,0.228599,1.056267,0.280999,0.227942,0.331378
10,0.400574,0.400574,1.038064,0.279027,0.227676,0.227676,1.055266,0.280928,0.227173,0.330475
11,0.396378,0.396378,1.041133,0.278914,0.227087,0.227087,1.063020,0.280573,0.227176,0.330689
12,0.393171,0.393171,1.041035,0.278560,0.228422,0.228422,1.063341,0.280810,0.228142,0.331116
13,0.391538,0.391538,1.040899,0.278287,0.228095,0.228095,1.063958,0.280052,0.228059,0.331820
14,0.387677,0.387677,1.042063,0.277950,0.228786,0.228786,1.064380,0.280434,0.228373,0.331950
