epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.821259,0.602493,0.964602,0.114067,1.683035,0.328460,0.987171,0.118547,0.324439,0.397284
1,1.771918,0.547280,0.962639,0.101891,1.643440,0.300799,0.981443,0.104218,0.305618,0.382776
2,1.738545,0.519042,0.958449,0.092542,1.622791,0.296314,0.977834,0.097014,0.295176,0.374267
3,1.711903,0.497529,0.952568,0.086777,1.602878,0.289000,0.969799,0.092209,0.290227,0.370326
4,1.689679,0.479874,0.946037,0.083612,1.588683,0.288569,0.961528,0.089474,0.286489,0.367786
5,1.671810,0.467713,0.938809,0.082015,1.573434,0.283572,0.953407,0.088075,0.284745,0.366411
6,1.655668,0.457767,0.931071,0.081025,1.559253,0.280122,0.944420,0.086882,0.283061,0.364942
7,1.640588,0.449749,0.922790,0.080087,1.548795,0.282511,0.933818,0.086133,0.282579,0.364854
8,1.625587,0.441620,0.914503,0.079296,1.545620,0.297287,0.920836,0.085639,0.282430,0.364425
9,1.611216,0.434252,0.906091,0.078721,1.522982,0.277848,0.913252,0.084876,0.282172,0.364391
10,1.596616,0.426530,0.897841,0.078139,1.512566,0.278749,0.902977,0.084724,0.282358,0.364340
11,1.582262,0.419087,0.889383,0.077662,1.501017,0.280131,0.892303,0.083071,0.284239,0.365659
12,1.568256,0.412048,0.881431,0.077297,1.491206,0.280763,0.888825,0.083333,0.283504,0.364917
13,1.554531,0.405380,0.874122,0.076992,1.482315,0.284006,0.875960,0.083069,0.285152,0.366041
14,1.541411,0.399486,0.867484,0.076793,1.475119,0.288830,0.870995,0.083174,0.287221,0.367505
15,1.528643,0.393794,0.861319,0.076805,1.468295,0.293689,0.866200,0.083419,0.287940,0.367942
16,1.515730,0.387802,0.855919,0.076826,1.457019,0.292532,0.860246,0.082870,0.291532,0.369987
