epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.712409,0.559100,0.976960,0.582261,1.578203,0.295139,0.997005,0.623378,0.295272,0.385034
1,1.679087,0.502777,0.972440,0.576037,1.559377,0.269414,0.993703,0.578334,0.268783,0.365041
2,1.661661,0.478321,0.969702,0.576255,1.547166,0.256860,0.992059,0.580434,0.257180,0.355215
3,1.644670,0.454874,0.968743,0.575123,1.537036,0.248441,0.990370,0.577480,0.248449,0.347914
4,1.633038,0.442171,0.967103,0.570882,1.529236,0.244498,0.989892,0.562783,0.244368,0.343949
0,1.712409,0.559100,0.976960,0.582261,1.578203,0.295139,0.997005,0.623378,0.295272,0.385034
1,1.679087,0.502777,0.972440,0.576037,1.559377,0.269413,0.993703,0.578334,0.268783,0.365041
2,1.661661,0.478321,0.969702,0.576255,1.547164,0.256857,0.992059,0.580444,0.257177,0.355210
3,1.644670,0.454874,0.968743,0.575123,1.536986,0.248343,0.990370,0.577613,0.248352,0.347825
4,1.633038,0.442171,0.967103,0.570882,1.528839,0.243733,0.989892,0.563795,0.243604,0.343365
5,1.621416,0.429461,0.967025,0.566008,1.520804,0.239474,0.988952,0.564073,0.239412,0.339649
6,1.613196,0.423442,0.966107,0.562514,1.513453,0.236501,0.987976,0.559998,0.236406,0.337099
7,1.604586,0.416647,0.965777,0.560398,1.506751,0.234665,0.987570,0.559356,0.234676,0.335269
8,1.595816,0.409556,0.965657,0.559835,1.500637,0.233912,0.987076,0.557929,0.233606,0.334374
9,1.584693,0.398244,0.964613,0.559866,1.494366,0.232763,0.986803,0.562384,0.232786,0.333828
10,1.576036,0.391503,0.964649,0.558822,1.488580,0.232580,0.986248,0.563746,0.232558,0.333430
11,1.570815,0.391198,0.963843,0.557233,1.483134,0.233044,0.985392,0.558611,0.233171,0.333326
12,1.565043,0.389814,0.963140,0.555825,1.476820,0.231763,0.984766,0.559721,0.231699,0.332449
13,1.555476,0.381523,0.962344,0.554636,1.470779,0.230953,0.983906,0.559124,0.231030,0.331746
14,1.546966,0.375170,0.961981,0.554399,1.465351,0.231199,0.983491,0.559093,0.231047,0.331388
15,1.541524,0.374337,0.961476,0.554467,1.459338,0.230416,0.982876,0.556132,0.230579,0.331115
16,1.534155,0.370004,0.961400,0.553574,1.454030,0.230796,0.982282,0.551731,0.230650,0.330884
17,1.527283,0.366596,0.960933,0.552734,1.448358,0.230440,0.982001,0.552709,0.230375,0.330768
18,1.520278,0.362977,0.960313,0.552228,1.442493,0.229705,0.981513,0.555809,0.229681,0.330330
19,1.513782,0.360160,0.960349,0.551788,1.437214,0.230024,0.981159,0.552708,0.229833,0.330242
20,1.509181,0.360668,0.959670,0.550761,1.432367,0.231005,0.980525,0.548542,0.230727,0.330678
21,1.505986,0.363443,0.959281,0.550373,1.426472,0.230077,0.980559,0.552883,0.230091,0.330429
