epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.773651,0.688946,0.847049,0.134294,0.499042,0.416744,0.822987,0.167741,0.416578,0.451624
1,0.720731,0.641960,0.787710,0.162080,0.472226,0.396142,0.760838,0.174658,0.396392,0.437022
2,0.694908,0.620750,0.741577,0.173323,0.461513,0.389999,0.715135,0.178838,0.390016,0.431028
3,0.674331,0.603321,0.710100,0.179402,0.451456,0.382630,0.688267,0.182850,0.383308,0.425956
4,0.661699,0.592524,0.691755,0.181399,0.444296,0.377607,0.666890,0.185140,0.378226,0.422495
5,0.650868,0.583227,0.676418,0.183279,0.442272,0.376848,0.654242,0.184811,0.377169,0.420602
6,0.642488,0.576008,0.664795,0.184746,0.441657,0.377777,0.638802,0.184248,0.377957,0.421643
7,0.636095,0.570480,0.656156,0.184725,0.439107,0.375929,0.631778,0.183438,0.376115,0.420941
8,0.631011,0.566153,0.648583,0.184340,0.439068,0.376833,0.622348,0.182299,0.376607,0.419429
9,0.624346,0.560209,0.641375,0.184081,0.437944,0.376356,0.615877,0.181820,0.376150,0.419464
