epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.858818,0.535501,0.646635,0.134563,0.587482,0.274797,0.625370,0.156124,0.274164,0.368113
1,0.773427,0.477296,0.592263,0.154758,0.539810,0.258055,0.563509,0.161578,0.257425,0.354221
2,0.720301,0.450794,0.539013,0.169325,0.500586,0.249390,0.502392,0.171540,0.249934,0.348151
3,0.680831,0.431139,0.499384,0.179839,0.474887,0.241449,0.466876,0.176502,0.241738,0.342056
4,0.656339,0.419463,0.473752,0.184159,0.460415,0.238765,0.443301,0.178996,0.238330,0.339603
5,0.638621,0.408995,0.459252,0.185649,0.452592,0.236866,0.431452,0.177616,0.236719,0.338120
6,0.624947,0.402528,0.444837,0.186896,0.442110,0.234414,0.415392,0.179206,0.234425,0.336393
7,0.610673,0.395341,0.430665,0.189277,0.431747,0.234242,0.395011,0.182939,0.234300,0.335760
8,0.598411,0.389831,0.417160,0.190078,0.427242,0.233992,0.386500,0.182727,0.233448,0.334629
9,0.586801,0.383572,0.406456,0.190458,0.420843,0.233253,0.375179,0.180359,0.233226,0.334781
10,0.576108,0.378096,0.396023,0.190384,0.410325,0.228988,0.362675,0.182262,0.229367,0.332076
11,0.568269,0.375577,0.385385,0.190309,0.406475,0.230358,0.352233,0.180196,0.230392,0.332285
12,0.561535,0.373661,0.375747,0.190870,0.398207,0.228251,0.339912,0.182024,0.228652,0.331455
13,0.550685,0.368036,0.365299,0.191248,0.395096,0.230117,0.329957,0.182571,0.230187,0.332375
14,0.540477,0.363566,0.353822,0.193491,0.386486,0.229303,0.314366,0.185901,0.229125,0.331237
