epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.628553,0.558515,0.700376,0.130566,0.365538,0.295167,0.703712,0.144382,0.294510,0.383736
1,0.578575,0.510779,0.677957,0.138497,0.345113,0.277564,0.675487,0.145512,0.276886,0.370430
2,0.553045,0.487537,0.655085,0.143522,0.331380,0.266188,0.651922,0.146858,0.266829,0.362156
3,0.531984,0.468302,0.636821,0.147077,0.321116,0.257793,0.633231,0.149082,0.258022,0.355251
4,0.517213,0.455293,0.619204,0.151114,0.313785,0.252455,0.613298,0.152457,0.252045,0.350181
5,0.505286,0.445138,0.601482,0.156734,0.307426,0.248289,0.591372,0.158813,0.248129,0.346801
6,0.497280,0.438944,0.583359,0.162509,0.303713,0.246572,0.571408,0.162819,0.246573,0.345446
7,0.489978,0.433204,0.567740,0.165853,0.301339,0.245663,0.556765,0.162982,0.245777,0.344187
8,0.482505,0.426955,0.555496,0.167034,0.301158,0.246643,0.545147,0.161998,0.245874,0.344014
9,0.473923,0.419618,0.543045,0.169113,0.297765,0.244689,0.530758,0.165667,0.244719,0.343063
10,0.467204,0.414454,0.527507,0.173511,0.290794,0.239549,0.512449,0.168468,0.240046,0.339857
11,0.463627,0.412186,0.514409,0.175614,0.289444,0.239592,0.498520,0.170373,0.239626,0.339055
12,0.459628,0.409327,0.503014,0.176871,0.286333,0.238324,0.480087,0.172345,0.238613,0.338510
13,0.453213,0.404228,0.489855,0.178929,0.283826,0.236907,0.469192,0.172153,0.237029,0.337333
14,0.448274,0.400337,0.479365,0.180913,0.282022,0.236163,0.458597,0.174439,0.236054,0.336849
15,0.445339,0.398093,0.472461,0.181385,0.280634,0.235770,0.448638,0.175052,0.235874,0.336622
16,0.440298,0.393813,0.464852,0.182221,0.281539,0.237165,0.443740,0.172117,0.237147,0.337217
17,0.435977,0.390234,0.457431,0.183058,0.279828,0.236170,0.436578,0.174592,0.236025,0.336396
