epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.947103,0.877482,0.696210,0.129725,0.761766,0.690355,0.714108,0.153294,0.689968,0.596591
1,0.915600,0.848176,0.674240,0.148932,0.733024,0.664526,0.684980,0.171497,0.664346,0.581792
2,0.895661,0.830372,0.652888,0.161858,0.718918,0.652984,0.659345,0.179238,0.652989,0.574124
3,0.880340,0.816840,0.634995,0.167976,0.708926,0.644931,0.639953,0.181772,0.644796,0.568264
4,0.864661,0.802887,0.617740,0.173345,0.703181,0.641511,0.616700,0.186235,0.641353,0.564930
5,0.852517,0.792766,0.597518,0.181962,0.700594,0.641287,0.593065,0.191693,0.641187,0.563204
6,0.843665,0.785814,0.578512,0.187296,0.700959,0.644125,0.568338,0.197608,0.644237,0.563231
7,0.837258,0.781055,0.562022,0.191589,0.696283,0.641140,0.551429,0.198992,0.641121,0.561616
8,0.828826,0.773916,0.549105,0.192506,0.697984,0.644155,0.538291,0.199782,0.644393,0.561689
9,0.824004,0.770230,0.537739,0.193339,0.702147,0.649662,0.524844,0.200417,0.649061,0.562506
