epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.955574,0.859831,0.957431,0.123621,0.759444,0.664051,0.953931,0.149200,0.664110,0.580165
1,0.915460,0.823141,0.923190,0.130799,0.736628,0.645627,0.910012,0.149013,0.646040,0.568349
2,0.891896,0.802862,0.890340,0.132569,0.726366,0.639520,0.868453,0.149866,0.638966,0.562686
3,0.876396,0.790304,0.860921,0.135376,0.719525,0.635942,0.835825,0.151976,0.636175,0.559881
4,0.864584,0.781122,0.834618,0.137676,0.719966,0.639913,0.800533,0.156087,0.639933,0.560443
5,0.855548,0.774440,0.811085,0.141338,0.715470,0.638044,0.774258,0.156932,0.637881,0.557914
0,0.957986,0.862467,0.955183,0.130753,0.760314,0.665419,0.948950,0.168920,0.665365,0.582305
1,0.915997,0.824124,0.918724,0.141782,0.732951,0.642233,0.907177,0.168136,0.641704,0.566953
2,0.893452,0.804748,0.887040,0.144615,0.723297,0.635961,0.873358,0.168902,0.636057,0.561241
3,0.876550,0.790531,0.860186,0.146958,0.718146,0.633897,0.842495,0.170358,0.633602,0.558420
4,0.866022,0.782324,0.836982,0.148543,0.720910,0.639522,0.813882,0.170715,0.639252,0.559533
5,0.857076,0.775609,0.814671,0.151261,0.716380,0.637674,0.787058,0.174752,0.637118,0.557651
