epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.616527,0.616527,1.000000,0.344961,0.344961,0.000000,0.000000,0.341701,0.410339
1,0.574039,0.574039,1.000000,0.343824,0.343824,0.000000,0.000000,0.324027,0.397424
2,0.553544,0.553544,1.000000,0.312625,0.312625,0.000000,0.000000,0.314062,0.389475
3,0.538783,0.538783,1.000000,0.304105,0.304105,0.000000,0.000000,0.306811,0.383834
4,0.528913,0.528913,1.000000,0.306330,0.306330,0.000000,0.000000,0.305209,0.382551
5,0.522060,0.522060,1.000000,0.297464,0.297464,0.000000,0.000000,0.301522,0.379509
6,0.516494,0.516494,1.000000,0.297151,0.297151,0.000000,0.000000,0.300701,0.379409
7,0.512406,0.512406,1.000000,0.294622,0.294622,0.000000,0.000000,0.298500,0.377533
8,0.509015,0.509015,1.000000,0.296066,0.296066,0.000000,0.000000,0.296611,0.376121
9,0.506055,0.506055,1.000000,0.294351,0.294351,0.000000,0.000000,0.296351,0.375037
10,0.503617,0.503617,1.000000,0.299817,0.299817,0.000000,0.000000,0.294722,0.374261
11,0.501393,0.501393,1.000000,0.292214,0.292214,0.000000,0.000000,0.294400,0.373590
12,0.499542,0.499542,1.000000,0.291489,0.291489,0.000000,0.000000,0.293571,0.373530
13,0.497848,0.497848,1.000000,0.294724,0.294724,0.000000,0.000000,0.292593,0.372150
14,0.495757,0.495757,1.000000,0.295729,0.295729,0.000000,0.000000,0.293527,0.373055
