loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.420054, 0.418427, 0.438332, 62.35 M Ops, 8.50 M Ops, 1.75 M Ops, 0.5391 M, 0.4255 %, 15.70 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.421810, 0.420268, 0.439478, 84.37 M Ops, 11.20 M Ops, 2.09 M Ops, 0.5725 M, 0.4004 %, 19.72 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.421434, 0.419900, 0.439841, 80.74 M Ops, 10.71 M Ops, 2.09 M Ops, 0.5683 M, 0.4312 %, 19.28 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.428068, 0.426478, 0.443207, 73.76 M Ops, 6.33 M Ops, 1.90 M Ops, 0.5640 M, 0.4693 %, 14.43 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.426495, 0.424969, 0.443993, 80.74 M Ops, 7.10 M Ops, 2.09 M Ops, 0.5683 M, 0.4248 %, 16.03 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.420557, 0.419008, 0.439433, 80.74 M Ops, 8.99 M Ops, 2.09 M Ops, 0.5683 M, 0.4268 %, 17.73 uJ
