epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.606925,0.574318,0.652141,0.125026,0.615545,0.582371,0.663481,0.151692,0.675492,0.582206
1,0.582431,0.551717,0.614278,0.138149,0.600506,0.569407,0.621988,0.155506,0.655573,0.569294
2,0.572194,0.543231,0.579277,0.143086,0.594568,0.565719,0.576979,0.157175,0.650959,0.565656
3,0.565347,0.537996,0.547028,0.147034,0.589232,0.561937,0.545900,0.159880,0.646348,0.561880
4,0.560096,0.534072,0.520482,0.149835,0.586682,0.561233,0.508974,0.164868,0.645817,0.561131
5,0.555819,0.530876,0.498874,0.151285,0.584723,0.560421,0.486057,0.161547,0.645500,0.560380
6,0.552285,0.528493,0.475837,0.152865,0.583612,0.561129,0.449652,0.164301,0.649288,0.561171
7,0.549688,0.526897,0.455832,0.154869,0.582185,0.560664,0.430426,0.167040,0.649190,0.560682
0,0.606925,0.574318,0.652141,0.125026,0.615545,0.582371,0.663481,0.151692,0.675492,0.582206
1,0.582431,0.551717,0.614278,0.138149,0.600506,0.569407,0.621988,0.155506,0.655573,0.569294
2,0.572194,0.543231,0.579277,0.143086,0.594568,0.565719,0.576979,0.157175,0.650959,0.565656
3,0.565347,0.537996,0.547028,0.147034,0.589232,0.561937,0.545900,0.159880,0.646348,0.561880
4,0.560096,0.534072,0.520482,0.149835,0.586682,0.561233,0.508974,0.164868,0.645817,0.561131
5,0.555819,0.530876,0.498874,0.151285,0.584723,0.560421,0.486057,0.161547,0.645500,0.560380
6,0.552285,0.528493,0.475837,0.152865,0.583612,0.561129,0.449652,0.164301,0.649288,0.561171
7,0.549688,0.526897,0.455832,0.154869,0.582185,0.560664,0.430426,0.167040,0.649190,0.560682
8,0.546157,0.523942,0.444304,0.156951,0.582796,0.561949,0.416943,0.168464,0.653178,0.562126
0,0.606925,0.574318,0.652141,0.125026,0.615545,0.582371,0.663481,0.151692,0.675492,0.582206
1,0.582431,0.551717,0.614278,0.138149,0.600506,0.569407,0.621988,0.155506,0.655573,0.569294
2,0.572194,0.543231,0.579277,0.143086,0.594568,0.565719,0.576979,0.157175,0.650959,0.565656
3,0.565347,0.537996,0.547028,0.147034,0.589232,0.561937,0.545900,0.159880,0.646348,0.561880
4,0.560096,0.534072,0.520482,0.149835,0.586682,0.561233,0.508974,0.164868,0.645817,0.561131
5,0.555819,0.530876,0.498874,0.151285,0.584723,0.560421,0.486057,0.161547,0.645500,0.560380
6,0.552285,0.528493,0.475837,0.152865,0.583612,0.561129,0.449652,0.164301,0.649288,0.561171
7,0.549688,0.526897,0.455832,0.154869,0.582185,0.560664,0.430426,0.167040,0.649190,0.560682
0,0.606925,0.574318,0.652141,0.125026,0.615545,0.582371,0.663481,0.151692,0.675492,0.582206
1,0.582431,0.551717,0.614278,0.138149,0.600506,0.569407,0.621988,0.155506,0.655573,0.569294
2,0.572194,0.543231,0.579277,0.143086,0.594568,0.565719,0.576979,0.157175,0.650959,0.565656
3,0.565347,0.537996,0.547028,0.147034,0.589232,0.561937,0.545900,0.159880,0.646348,0.561880
4,0.560096,0.534072,0.520482,0.149835,0.586682,0.561233,0.508974,0.164868,0.645817,0.561131
5,0.555819,0.530876,0.498874,0.151285,0.584723,0.560421,0.486057,0.161547,0.645500,0.560380
6,0.552285,0.528493,0.475837,0.152865,0.583612,0.561129,0.449652,0.164301,0.649288,0.561171
7,0.549688,0.526897,0.455832,0.154869,0.582185,0.560664,0.430426,0.167040,0.649190,0.560682
0,0.606912,0.574317,0.651893,0.124918,0.615542,0.582355,0.663742,0.152006,0.675456,0.582190
1,0.582429,0.551701,0.614569,0.138357,0.600520,0.569373,0.622958,0.155392,0.655529,0.569260
2,0.572177,0.543151,0.580518,0.142977,0.594210,0.565291,0.578390,0.158705,0.650161,0.565227
3,0.565148,0.537828,0.546407,0.147609,0.589214,0.562264,0.538990,0.163293,0.646946,0.562208
4,0.559799,0.534003,0.515913,0.151751,0.586209,0.560806,0.508069,0.164158,0.644853,0.560707
5,0.555842,0.531142,0.493999,0.153494,0.584938,0.561003,0.478703,0.164495,0.646986,0.560965
6,0.552580,0.528771,0.476179,0.157896,0.584731,0.561889,0.456850,0.171696,0.650721,0.561942
0,0.607058,0.574255,0.656061,0.127304,0.615738,0.582144,0.671878,0.150485,0.674844,0.581980
1,0.582510,0.551585,0.618489,0.136157,0.600578,0.569172,0.628117,0.149839,0.654923,0.569057
2,0.572486,0.543282,0.584083,0.136267,0.593331,0.564089,0.584849,0.150730,0.646944,0.564023
3,0.565798,0.538177,0.552422,0.137682,0.589027,0.561624,0.548047,0.153852,0.644288,0.561575
4,0.559621,0.533456,0.523298,0.144747,0.587216,0.561348,0.517347,0.158706,0.645149,0.561250
5,0.554822,0.529596,0.504509,0.149022,0.585451,0.560563,0.497753,0.161777,0.647054,0.560527
6,0.551224,0.526893,0.486612,0.152415,0.585791,0.562306,0.469697,0.165129,0.653089,0.562355
7,0.549083,0.525530,0.471070,0.155556,0.583781,0.561092,0.453784,0.168491,0.650770,0.561110
