loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400705, 0.392202, 0.421860, 0.749434, 188.33 M Ops, 27.98 M Ops, 7.65 M Ops, 0.4781 M, 0.3901 %, 60.37 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400705, 0.392202, 0.421860, 0.749434, 188.33 M Ops, 27.98 M Ops, 7.65 M Ops, 0.4781 M, 0.3901 %, 60.37 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399509, 0.391281, 0.421375, 0.750023, 188.33 M Ops, 30.52 M Ops, 7.65 M Ops, 0.4781 M, 0.3884 %, 62.66 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399077, 0.391172, 0.420839, 0.750093, 188.33 M Ops, 29.28 M Ops, 7.65 M Ops, 0.4781 M, 0.3864 %, 61.54 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399816, 0.391617, 0.421528, 0.749808, 195.31 M Ops, 31.55 M Ops, 8.38 M Ops, 0.4781 M, 0.3883 %, 66.96 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400531, 0.392107, 0.421727, 0.749495, 195.31 M Ops, 30.78 M Ops, 8.38 M Ops, 0.4781 M, 0.3871 %, 66.27 uJ
