epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.494557,0.494557,1.000000,0.445215,0.445215,0.000000,0.000000,0.414258,0.445183
1,0.467623,0.467623,1.000000,0.432700,0.432700,0.000000,0.000000,0.397222,0.432858
2,0.458960,0.458960,1.000000,0.428889,0.428889,0.000000,0.000000,0.392304,0.428906
3,0.452657,0.452657,1.000000,0.424369,0.424369,0.000000,0.000000,0.386826,0.424726
4,0.448931,0.448931,1.000000,0.421667,0.421667,0.000000,0.000000,0.383438,0.421974
5,0.445458,0.445458,1.000000,0.420212,0.420212,0.000000,0.000000,0.382623,0.420327
6,0.443042,0.443042,1.000000,0.420925,0.420925,0.000000,0.000000,0.383675,0.420986
7,0.440597,0.440597,1.000000,0.420081,0.420081,0.000000,0.000000,0.381178,0.420120
8,0.439353,0.439353,1.000000,0.420098,0.420098,0.000000,0.000000,0.383122,0.420041
9,0.437492,0.437492,1.000000,0.420030,0.420030,0.000000,0.000000,0.383442,0.419921
10,0.436581,0.436581,1.000000,0.418501,0.418501,0.000000,0.000000,0.379166,0.418416
11,0.435341,0.435341,1.000000,0.418652,0.418652,0.000000,0.000000,0.381863,0.418633
12,0.434108,0.434108,1.000000,0.417170,0.417170,0.000000,0.000000,0.379447,0.417110
13,0.432841,0.432841,1.000000,0.418278,0.418278,0.000000,0.000000,0.381918,0.418549
14,0.432002,0.432002,1.000000,0.418740,0.418740,0.000000,0.000000,0.380907,0.418669
