epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.042860,0.575436,0.934847,0.000000,1.066374,0.573489,0.985770,0.000000,0.668921,0.573443
1,1.015665,0.568686,0.893959,0.013863,0.970989,0.553029,0.835920,0.037199,0.639152,0.553010
2,0.903143,0.548897,0.708492,0.059520,0.875795,0.545687,0.660217,0.082498,0.631877,0.545609
3,0.837980,0.541156,0.593647,0.086663,0.840105,0.541030,0.598151,0.111674,0.622890,0.540877
4,0.801869,0.536256,0.531226,0.110688,0.796421,0.538074,0.516693,0.122437,0.620773,0.537996
5,0.759865,0.534214,0.451303,0.116265,0.761860,0.540743,0.442233,0.127210,0.629378,0.540844
6,0.730773,0.532524,0.396498,0.118670,0.742605,0.543281,0.398648,0.130146,0.634229,0.543332
0,1.042860,0.575436,0.934847,0.000000,1.066374,0.573489,0.985770,0.000000,0.668921,0.573443
1,1.015665,0.568686,0.893959,0.013863,0.970989,0.553029,0.835920,0.037199,0.639152,0.553010
2,0.903143,0.548897,0.708492,0.059520,0.875795,0.545687,0.660217,0.082498,0.631877,0.545609
3,0.837980,0.541156,0.593647,0.086663,0.840105,0.541030,0.598151,0.111674,0.622890,0.540877
4,0.801869,0.536256,0.531226,0.110688,0.796421,0.538074,0.516693,0.122437,0.620773,0.537996
5,0.759865,0.534214,0.451303,0.116265,0.761860,0.540743,0.442233,0.127210,0.629378,0.540844
6,0.730773,0.532524,0.396498,0.118670,0.742605,0.543281,0.398648,0.130146,0.634229,0.543332
0,1.034482,0.570168,0.928628,0.007582,1.044861,0.562462,0.964800,0.012309,0.650203,0.562427
1,0.968520,0.557545,0.821949,0.035524,0.904815,0.543902,0.721827,0.066404,0.624112,0.543899
2,0.852594,0.545755,0.613678,0.066443,0.839783,0.543269,0.593028,0.081581,0.630314,0.543183
3,0.815837,0.540819,0.550037,0.077912,0.822893,0.539262,0.567262,0.090748,0.622074,0.539143
4,0.797311,0.536905,0.520812,0.089384,0.807843,0.537365,0.540955,0.100754,0.618897,0.537258
5,0.781301,0.534228,0.494146,0.095945,0.796316,0.542085,0.508462,0.107978,0.633147,0.542211
6,0.769201,0.532761,0.472880,0.098914,0.801328,0.549087,0.504482,0.108469,0.649480,0.549123
