epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.102317,0.561255,0.541062,0.075717,1.024442,0.551398,0.473044,0.095042,0.637277,0.551364
1,0.955562,0.552307,0.403255,0.095952,0.900677,0.547402,0.353276,0.116061,0.630453,0.547392
2,0.857344,0.549346,0.307998,0.117887,0.815501,0.544475,0.271026,0.136718,0.626550,0.544374
3,0.785884,0.547104,0.238780,0.139873,0.751151,0.540839,0.210312,0.158283,0.619445,0.540732
4,0.733432,0.545675,0.187757,0.157459,0.708558,0.540936,0.167622,0.178412,0.620873,0.540822
5,0.697866,0.545547,0.152319,0.170982,0.681916,0.543639,0.138278,0.194439,0.627972,0.543742
0,1.102317,0.561255,0.541062,0.075717,1.024442,0.551398,0.473044,0.095042,0.637277,0.551364
1,0.955562,0.552307,0.403255,0.095952,0.900677,0.547402,0.353276,0.116061,0.630453,0.547392
2,0.857344,0.549346,0.307998,0.117887,0.815501,0.544475,0.271026,0.136718,0.626550,0.544374
3,0.785884,0.547104,0.238780,0.139873,0.751151,0.540839,0.210312,0.158283,0.619445,0.540732
4,0.733432,0.545675,0.187757,0.157459,0.708558,0.540936,0.167622,0.178412,0.620873,0.540822
5,0.697866,0.545547,0.152319,0.170982,0.681916,0.543639,0.138278,0.194439,0.627972,0.543742
