epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.728268,0.556660,0.585804,0.129943,1.620369,0.546277,0.537046,0.164122,0.629334,0.546269
1,1.497993,0.547634,0.475179,0.170668,1.448580,0.543284,0.452648,0.188344,0.623322,0.543278
2,1.379472,0.544835,0.417319,0.192511,1.336556,0.542637,0.396960,0.217006,0.625664,0.542552
3,1.263277,0.542619,0.360329,0.204411,1.155668,0.539166,0.308251,0.225598,0.618303,0.539055
4,1.059698,0.541243,0.259228,0.215847,0.985488,0.537898,0.223795,0.234485,0.616931,0.537777
5,0.943762,0.540850,0.201456,0.223301,0.908923,0.541121,0.183901,0.241223,0.625515,0.541222
6,0.888895,0.540370,0.174262,0.226991,0.869274,0.541718,0.163778,0.241645,0.627215,0.541756
0,1.728268,0.556660,0.585804,0.129943,1.620369,0.546277,0.537046,0.164122,0.629334,0.546269
1,1.497993,0.547634,0.475179,0.170668,1.448580,0.543284,0.452648,0.188344,0.623322,0.543278
2,1.379472,0.544835,0.417319,0.192511,1.336556,0.542637,0.396960,0.217006,0.625664,0.542552
3,1.263277,0.542619,0.360329,0.204411,1.155668,0.539166,0.308251,0.225598,0.618303,0.539055
4,1.059698,0.541243,0.259228,0.215847,0.985488,0.537898,0.223795,0.234485,0.616931,0.537777
5,0.943762,0.540850,0.201456,0.223301,0.908923,0.541121,0.183901,0.241223,0.625515,0.541222
6,0.888895,0.540370,0.174262,0.226991,0.869274,0.541718,0.163778,0.241645,0.627215,0.541756
7,0.854510,0.537715,0.158397,0.230838,0.848818,0.544292,0.152263,0.244657,0.633595,0.544165
8,0.837091,0.538284,0.149404,0.232526,0.834601,0.541466,0.146568,0.248032,0.628252,0.541712
9,0.833122,0.537363,0.147880,0.232012,0.841437,0.543736,0.148850,0.247604,0.632756,0.543496
10,0.829102,0.536909,0.146096,0.230936,0.834358,0.541166,0.146596,0.243403,0.626496,0.541316
11,0.831577,0.535444,0.148066,0.226727,0.840208,0.542850,0.148679,0.233866,0.631340,0.542546
12,0.835851,0.535345,0.150253,0.221711,0.846897,0.544545,0.151176,0.237555,0.637058,0.544727
