epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.424601,0.424601,1.000000,0.367044,0.367044,0.000000,0.000000,0.287376,0.360144
1,0.408790,0.408790,1.000000,0.355697,0.355697,0.000000,0.000000,0.287071,0.359187
2,0.406130,0.406130,1.000000,0.358252,0.358252,0.000000,0.000000,0.285008,0.357258
3,0.403340,0.403340,1.000000,0.355965,0.355965,0.000000,0.000000,0.285503,0.356927
4,0.401236,0.401236,1.000000,0.360221,0.360221,0.000000,0.000000,0.290403,0.359761
0,0.424601,0.424601,1.000000,0.367044,0.367044,0.000000,0.000000,0.287376,0.360144
1,0.408790,0.408790,1.000000,0.355697,0.355697,0.000000,0.000000,0.287071,0.359187
2,0.406130,0.406130,1.000000,0.358252,0.358252,0.000000,0.000000,0.285008,0.357258
3,0.403340,0.403340,1.000000,0.355965,0.355965,0.000000,0.000000,0.285503,0.356927
4,0.401236,0.401236,1.000000,0.360221,0.360221,0.000000,0.000000,0.290403,0.359761
