epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.820499,0.386638,0.537609,0.249923,1.851204,0.523048,0.670192,0.221011,0.522790,0.492461
1,1.705576,0.304663,0.755444,0.199527,1.751223,0.450267,0.747552,0.179801,0.449993,0.452915
2,1.640676,0.281265,0.789622,0.170793,1.693202,0.419969,0.754344,0.159475,0.419481,0.436089
3,1.594470,0.266788,0.790816,0.156326,1.650833,0.401718,0.744008,0.148635,0.401771,0.426350
4,1.556719,0.257729,0.782608,0.147367,1.617658,0.393714,0.731715,0.141212,0.392705,0.421130
5,1.523134,0.251409,0.773099,0.140897,1.588083,0.388034,0.720385,0.135801,0.387489,0.418317
6,1.492342,0.246311,0.764266,0.136314,1.561185,0.383535,0.709763,0.132075,0.383882,0.415930
7,1.463351,0.241684,0.755931,0.133050,1.538229,0.382916,0.701402,0.129503,0.383157,0.416286
8,1.436215,0.237999,0.748008,0.130820,1.516935,0.382743,0.693421,0.127841,0.382979,0.416262
9,1.410231,0.234384,0.741156,0.129446,1.497242,0.383601,0.686888,0.126563,0.382304,0.416199
10,1.385535,0.231501,0.734924,0.128596,1.477655,0.382481,0.680030,0.126228,0.383190,0.417027
11,1.361495,0.228539,0.729262,0.128166,1.458272,0.380758,0.673460,0.126034,0.380509,0.415375
12,1.338304,0.226074,0.724261,0.127921,1.441137,0.381191,0.668716,0.125982,0.379860,0.415192
13,1.315821,0.223961,0.719504,0.127781,1.425135,0.382552,0.664523,0.125746,0.382005,0.416516
14,1.293783,0.221824,0.716064,0.127734,1.408686,0.382252,0.661561,0.125698,0.382493,0.417148
