epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.607682,0.366348,0.988304,0.053365,1.686015,0.541552,0.966056,0.053039,0.541881,0.492556
1,1.556628,0.313588,0.951556,0.052503,1.652226,0.519148,0.906109,0.051240,0.519546,0.481969
2,1.524248,0.301343,0.881919,0.051638,1.624052,0.510363,0.818993,0.051076,0.509863,0.476949
3,1.493422,0.293270,0.802117,0.051880,1.598145,0.505253,0.736663,0.051530,0.505133,0.474748
4,1.463684,0.286459,0.731160,0.052593,1.573940,0.501552,0.668534,0.052215,0.501669,0.473104
5,1.434930,0.280272,0.672188,0.053552,1.552053,0.499863,0.616360,0.052964,0.499642,0.472583
6,1.407414,0.274789,0.626958,0.054508,1.532036,0.499581,0.575536,0.053750,0.499387,0.472675
7,1.380785,0.269645,0.591536,0.055614,1.515762,0.503294,0.547090,0.054829,0.503313,0.474289
8,1.354976,0.264751,0.564587,0.056654,1.497490,0.502281,0.525434,0.055658,0.502452,0.473282
9,1.329830,0.260023,0.543709,0.057592,1.482189,0.504533,0.507518,0.056353,0.504566,0.474439
