epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.414189,0.340139,0.740494,0.173002,0.513949,0.450455,0.634939,0.163721,0.450469,0.458065
1,0.341104,0.286111,0.549932,0.191875,0.474540,0.424263,0.502766,0.168569,0.424305,0.442269
2,0.318641,0.272320,0.463206,0.196394,0.456199,0.413866,0.423322,0.169933,0.413570,0.435553
3,0.305382,0.264383,0.409992,0.197799,0.447135,0.408696,0.384396,0.170189,0.408773,0.432318
4,0.299326,0.259456,0.398696,0.202689,0.438965,0.404121,0.348439,0.179175,0.404017,0.429285
5,0.291515,0.255837,0.356784,0.215102,0.433602,0.402356,0.312469,0.188730,0.402505,0.428740
6,0.286655,0.252997,0.336579,0.226200,0.429720,0.400907,0.288132,0.194339,0.400892,0.427849
7,0.281808,0.250674,0.311338,0.236778,0.427587,0.401494,0.260936,0.201467,0.401497,0.428094
8,0.277741,0.248750,0.289913,0.246352,0.424543,0.400096,0.244471,0.206880,0.399956,0.426828
9,0.274886,0.247109,0.277770,0.254062,0.423016,0.399678,0.233382,0.213089,0.399921,0.426361
10,0.272073,0.245598,0.264754,0.261529,0.420872,0.399028,0.218436,0.219181,0.398897,0.426229
11,0.269600,0.244170,0.254299,0.267800,0.418522,0.397479,0.210436,0.223176,0.397613,0.425127
12,0.267771,0.243014,0.247564,0.273556,0.421693,0.401345,0.203476,0.224204,0.401158,0.427123
13,0.266001,0.241764,0.242365,0.278249,0.419012,0.399054,0.199576,0.228913,0.399105,0.425957
14,0.264664,0.240668,0.239954,0.282849,0.425841,0.406076,0.197657,0.228781,0.406046,0.429936
0,0.417521,0.341307,0.762145,0.169608,0.519652,0.453660,0.659922,0.162834,0.453683,0.457756
1,0.346588,0.290350,0.562377,0.194165,0.478424,0.427546,0.508786,0.166591,0.427576,0.442916
2,0.324137,0.277366,0.467713,0.200814,0.459265,0.417387,0.418786,0.173885,0.417097,0.437127
3,0.311648,0.269890,0.417585,0.207357,0.452674,0.412450,0.402246,0.180423,0.412539,0.433902
4,0.307542,0.265245,0.422967,0.214825,0.447080,0.407524,0.395559,0.189484,0.407426,0.430578
5,0.299000,0.261586,0.374136,0.227771,0.437704,0.404934,0.327702,0.198232,0.405119,0.429358
6,0.293353,0.258598,0.347546,0.237616,0.434557,0.403388,0.311689,0.204413,0.403382,0.428158
7,0.288986,0.256424,0.325616,0.246564,0.430405,0.402480,0.279248,0.212373,0.402484,0.427831
8,0.285132,0.254562,0.305704,0.255044,0.427845,0.401885,0.259597,0.215053,0.401746,0.427035
9,0.281740,0.252985,0.287548,0.261949,0.426344,0.402333,0.240104,0.221229,0.402578,0.427246
10,0.279124,0.251714,0.274098,0.267804,0.422566,0.399673,0.228925,0.225948,0.399539,0.425801
11,0.276841,0.250369,0.264723,0.273820,0.422067,0.399976,0.220904,0.229199,0.400094,0.426055
12,0.275069,0.249332,0.257368,0.279734,0.422929,0.401515,0.214141,0.231351,0.401281,0.426540
13,0.273336,0.248123,0.252132,0.284742,0.420773,0.399924,0.208493,0.235461,0.399961,0.425941
0,0.413680,0.338231,0.754498,0.168322,0.511724,0.447666,0.640583,0.155557,0.447697,0.456316
1,0.340019,0.285028,0.549910,0.184639,0.468955,0.419247,0.497082,0.164461,0.419302,0.438909
2,0.317287,0.270704,0.465824,0.191740,0.451540,0.409314,0.422263,0.167392,0.409004,0.432708
3,0.303202,0.262216,0.409856,0.196271,0.443522,0.406091,0.374310,0.169628,0.406169,0.430817
4,0.296759,0.257126,0.396327,0.200861,0.436508,0.400127,0.363815,0.178640,0.400045,0.426389
5,0.289733,0.253227,0.365060,0.213232,0.434026,0.400963,0.330634,0.185242,0.401128,0.427766
6,0.283550,0.250058,0.334924,0.224645,0.426556,0.398267,0.282893,0.192940,0.398264,0.426016
7,0.278344,0.247672,0.306726,0.234042,0.426141,0.399280,0.268603,0.198180,0.399283,0.426732
8,0.274898,0.245496,0.294017,0.241910,0.421946,0.397370,0.245762,0.203639,0.397220,0.425127
9,0.271676,0.243778,0.278980,0.250111,0.424210,0.400228,0.239818,0.210376,0.400454,0.426805
10,0.269527,0.242296,0.272306,0.256442,0.420666,0.398326,0.223400,0.214949,0.398196,0.425741
11,0.266592,0.240870,0.257217,0.262493,0.419251,0.398212,0.210392,0.218456,0.398347,0.425743
