epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.464190,0.383823,0.803675,0.129186,0.646420,0.573496,0.729242,0.132247,0.573841,0.512555
1,0.399404,0.333279,0.661251,0.129556,0.606567,0.544713,0.618538,0.131880,0.545065,0.499434
2,0.374127,0.319188,0.549388,0.136953,0.583883,0.533963,0.499198,0.143356,0.533445,0.492416
3,0.355143,0.311078,0.440642,0.145384,0.567115,0.528231,0.388842,0.149462,0.528055,0.490023
4,0.340041,0.305127,0.349143,0.153259,0.553196,0.521808,0.313880,0.155121,0.521851,0.487050
5,0.329595,0.300354,0.292409,0.157238,0.545267,0.518475,0.267922,0.156363,0.518300,0.485696
6,0.321931,0.296569,0.253620,0.159146,0.539734,0.516154,0.235801,0.159312,0.515998,0.484236
7,0.315511,0.293144,0.223671,0.160635,0.535900,0.514963,0.209371,0.160889,0.514970,0.483591
8,0.310528,0.290397,0.201314,0.162156,0.536935,0.517686,0.192489,0.159058,0.517829,0.485476
9,0.306473,0.287779,0.186940,0.163725,0.529208,0.511190,0.180181,0.163903,0.511248,0.481704
10,0.303218,0.285516,0.177020,0.166034,0.531421,0.514421,0.170002,0.167737,0.514459,0.483064
11,0.300229,0.283540,0.166896,0.168964,0.531746,0.515495,0.162515,0.168812,0.515718,0.483766
