epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.418336,0.418336,1.000000,0.708852,0.708852,0.000000,0.000000,0.709476,0.567115
1,0.370529,0.370529,1.000000,0.682088,0.682088,0.000000,0.000000,0.681932,0.554760
2,0.358454,0.358454,1.000000,0.670976,0.670976,0.000000,0.000000,0.672132,0.549992
3,0.351118,0.351118,1.000000,0.664796,0.664796,0.000000,0.000000,0.665033,0.547362
4,0.345908,0.345908,1.000000,0.658770,0.658770,0.000000,0.000000,0.659226,0.544540
5,0.341878,0.341878,1.000000,0.658588,0.658588,0.000000,0.000000,0.659266,0.544987
6,0.338655,0.338655,1.000000,0.658105,0.658105,0.000000,0.000000,0.658709,0.544983
7,0.335947,0.335947,1.000000,0.656057,0.656057,0.000000,0.000000,0.656675,0.543890
8,0.333572,0.333572,1.000000,0.652360,0.652360,0.000000,0.000000,0.653347,0.542419
9,0.331187,0.331187,1.000000,0.657874,0.657874,0.000000,0.000000,0.658634,0.545253
10,0.329296,0.329296,1.000000,0.653362,0.653362,0.000000,0.000000,0.653014,0.542239
