epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.510345,0.474309,0.720707,0.138536,0.695033,0.665068,0.599291,0.146040,1.015465,0.665055
1,0.477053,0.451895,0.503177,0.154848,0.674886,0.655314,0.391456,0.162828,0.996053,0.655291
2,0.463963,0.445919,0.360872,0.165727,0.665103,0.651216,0.277728,0.169671,0.988994,0.651244
3,0.457377,0.442483,0.297874,0.168710,0.660914,0.649434,0.229589,0.169237,0.986021,0.649507
4,0.452698,0.440031,0.253332,0.174447,0.657497,0.648363,0.182676,0.178304,0.984913,0.648362
5,0.449481,0.438128,0.227061,0.181566,0.653985,0.646365,0.152413,0.185421,0.978945,0.646378
6,0.447182,0.436562,0.212404,0.186638,0.652684,0.645732,0.139052,0.190253,0.980412,0.645726
7,0.445388,0.435246,0.202848,0.191049,0.653066,0.646665,0.128019,0.194159,0.982130,0.646760
8,0.443657,0.434071,0.191720,0.197811,0.651566,0.645646,0.118405,0.202177,0.977381,0.645692
9,0.442319,0.433029,0.185817,0.202557,0.650976,0.645355,0.112427,0.207858,0.978095,0.645337
10,0.441168,0.432091,0.181539,0.206130,0.654271,0.648752,0.110389,0.207936,0.983843,0.648753
11,0.440392,0.431399,0.179861,0.210086,0.652400,0.647104,0.105915,0.212446,0.978625,0.647150
