epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.490608,0.419120,0.714874,0.152809,0.566581,0.505473,0.611076,0.169586,0.567301,0.503910
1,0.443580,0.393292,0.502880,0.180283,0.532971,0.492785,0.401865,0.196274,0.547204,0.491689
2,0.423209,0.386237,0.369720,0.196393,0.515571,0.486816,0.287554,0.203080,0.540302,0.487180
3,0.412201,0.382325,0.298754,0.201896,0.505612,0.482260,0.233521,0.209528,0.531923,0.482490
4,0.405576,0.379777,0.257989,0.213013,0.501141,0.482843,0.182981,0.224946,0.528157,0.480334
5,0.400955,0.377780,0.231757,0.223718,0.493283,0.477400,0.158824,0.233133,0.523614,0.478279
6,0.397662,0.376089,0.215733,0.230848,0.490897,0.476684,0.142133,0.241514,0.522550,0.477538
7,0.395246,0.374589,0.206565,0.237210,0.493021,0.479464,0.135574,0.244934,0.520465,0.477824
8,0.393388,0.373174,0.202137,0.242788,0.487976,0.474939,0.130365,0.251546,0.517599,0.475461
9,0.391543,0.371925,0.196184,0.253304,0.486584,0.474011,0.125732,0.265173,0.515153,0.474243
10,0.390092,0.370840,0.192520,0.263549,0.488743,0.476800,0.119426,0.276238,0.512930,0.472487
11,0.388756,0.369969,0.187868,0.274525,0.484932,0.473191,0.117413,0.284072,0.512481,0.473505
12,0.387565,0.369114,0.184510,0.283211,0.482643,0.471193,0.114498,0.292525,0.510829,0.472303
13,0.386517,0.368255,0.182628,0.292107,0.482074,0.471085,0.109897,0.301399,0.509507,0.471958
14,0.385411,0.367533,0.178777,0.298972,0.481597,0.470784,0.108131,0.306863,0.508007,0.471439
15,0.384541,0.366813,0.177278,0.303887,0.486449,0.475885,0.105636,0.312468,0.508714,0.471569
16,0.383590,0.366099,0.174904,0.308433,0.484795,0.474281,0.105140,0.316163,0.507004,0.471214
