epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.399750,0.399750,1.000000,0.449943,0.449943,0.000000,0.000000,0.446857,0.449924
1,0.366559,0.366559,1.000000,0.432433,0.432433,0.000000,0.000000,0.420602,0.432451
2,0.355198,0.355198,1.000000,0.424512,0.424512,0.000000,0.000000,0.407589,0.424353
3,0.347214,0.347214,1.000000,0.417841,0.417841,0.000000,0.000000,0.396657,0.417879
4,0.342365,0.342365,1.000000,0.414378,0.414378,0.000000,0.000000,0.393643,0.414353
5,0.339161,0.339161,1.000000,0.413537,0.413537,0.000000,0.000000,0.390830,0.413584
6,0.336730,0.336730,1.000000,0.411491,0.411491,0.000000,0.000000,0.388057,0.411498
7,0.334941,0.334941,1.000000,0.409028,0.409028,0.000000,0.000000,0.384166,0.409064
8,0.333489,0.333489,1.000000,0.409076,0.409076,0.000000,0.000000,0.384554,0.409038
9,0.332266,0.332266,1.000000,0.408511,0.408511,0.000000,0.000000,0.383515,0.408635
10,0.331166,0.331166,1.000000,0.410078,0.410078,0.000000,0.000000,0.385719,0.410034
11,0.330308,0.330308,1.000000,0.410043,0.410043,0.000000,0.000000,0.385497,0.410108
