epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.416799,0.416799,1.000000,0.496761,0.496761,0.000000,0.000000,0.550936,0.495206
1,0.386916,0.386916,1.000000,0.484602,0.484602,0.000000,0.000000,0.529534,0.483613
2,0.378793,0.378793,1.000000,0.477770,0.477770,0.000000,0.000000,0.521897,0.478245
3,0.373711,0.373711,1.000000,0.474408,0.474408,0.000000,0.000000,0.513810,0.474715
4,0.369925,0.369925,1.000000,0.473513,0.473513,0.000000,0.000000,0.507882,0.470917
5,0.366814,0.366814,1.000000,0.468888,0.468888,0.000000,0.000000,0.504023,0.469598
6,0.364419,0.364419,1.000000,0.467928,0.467928,0.000000,0.000000,0.502459,0.468634
7,0.362569,0.362569,1.000000,0.469670,0.469670,0.000000,0.000000,0.499811,0.467952
8,0.361021,0.361021,1.000000,0.465547,0.465547,0.000000,0.000000,0.498039,0.466091
9,0.359711,0.359711,1.000000,0.465774,0.465774,0.000000,0.000000,0.497514,0.465988
10,0.358556,0.358556,1.000000,0.468984,0.468984,0.000000,0.000000,0.496138,0.464407
