epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.494920,0.494920,1.000000,0.670940,0.670940,0.000000,0.000000,1.028631,0.670941
1,0.475581,0.475581,1.000000,0.661431,0.661431,0.000000,0.000000,1.011777,0.661396
2,0.469141,0.469141,1.000000,0.657704,0.657704,0.000000,0.000000,1.004061,0.657733
3,0.465787,0.465787,1.000000,0.657493,0.657493,0.000000,0.000000,1.003139,0.657564
4,0.463491,0.463491,1.000000,0.654937,0.654937,0.000000,0.000000,0.997440,0.654928
5,0.461974,0.461974,1.000000,0.655456,0.655456,0.000000,0.000000,1.000959,0.655481
6,0.460966,0.460966,1.000000,0.656517,0.656517,0.000000,0.000000,0.998090,0.656511
0,0.503735,0.503735,1.000000,0.684911,0.684911,0.000000,0.000000,1.051194,0.684913
1,0.485072,0.485072,1.000000,0.672067,0.672067,0.000000,0.000000,1.028643,0.671877
2,0.477369,0.477369,1.000000,0.664108,0.664108,0.000000,0.000000,1.016121,0.664274
3,0.472173,0.472173,1.000000,0.662665,0.662665,0.000000,0.000000,1.011682,0.663044
4,0.468140,0.468140,1.000000,0.660285,0.660285,0.000000,0.000000,1.007662,0.660234
5,0.465590,0.465590,1.000000,0.658046,0.658046,0.000000,0.000000,1.005738,0.658172
6,0.463960,0.463960,1.000000,0.658455,0.658455,0.000000,0.000000,1.001611,0.658422
7,0.462509,0.462509,1.000000,0.655142,0.655142,0.000000,0.000000,0.999886,0.655747
8,0.461525,0.461525,1.000000,0.655677,0.655677,0.000000,0.000000,0.998969,0.655963
9,0.460759,0.460759,1.000000,0.656740,0.656740,0.000000,0.000000,0.997654,0.656737
