epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.882797,0.507111,0.751371,0.093886,0.944869,0.684844,0.520050,0.127700,1.056116,0.684840
1,0.709351,0.487994,0.442713,0.143827,0.851476,0.671657,0.359639,0.155378,1.033991,0.671484
2,0.640834,0.480529,0.320609,0.169818,0.805442,0.667234,0.276416,0.179675,1.023864,0.667401
3,0.599859,0.475576,0.248565,0.188090,0.775067,0.660457,0.229220,0.185653,1.012923,0.660836
4,0.578224,0.472526,0.211397,0.196180,0.762642,0.661157,0.202969,0.197758,1.014456,0.661114
5,0.566134,0.470152,0.191965,0.200458,0.749260,0.657590,0.183341,0.205713,1.007488,0.657704
6,0.556314,0.468371,0.175886,0.208429,0.743059,0.658606,0.168905,0.209067,1.007893,0.658567
7,0.549069,0.467467,0.163202,0.211638,0.735084,0.655352,0.159464,0.217661,1.004743,0.655968
8,0.543879,0.466795,0.154168,0.213760,0.731206,0.656099,0.150215,0.212947,1.003777,0.656372
9,0.539743,0.466452,0.146582,0.213184,0.727861,0.656785,0.142152,0.214778,1.005862,0.656803
0,0.886085,0.508245,0.755679,0.069293,0.947691,0.689130,0.517122,0.098049,1.061971,0.689126
1,0.706035,0.487987,0.436096,0.115080,0.844601,0.671470,0.346262,0.118445,1.034001,0.671290
2,0.638371,0.479142,0.318457,0.132086,0.810203,0.668945,0.282515,0.135319,1.021993,0.669131
3,0.603235,0.474172,0.258126,0.141416,0.778884,0.660066,0.237636,0.139353,1.008249,0.660430
4,0.585001,0.471466,0.227071,0.147366,0.767484,0.660229,0.214511,0.138469,1.008921,0.660174
5,0.571815,0.469407,0.204815,0.151513,0.756690,0.656552,0.200277,0.147544,1.008812,0.656689
6,0.562577,0.468015,0.189125,0.157361,0.749211,0.657899,0.182624,0.150236,1.009103,0.657860
7,0.554596,0.466967,0.175258,0.163191,0.740777,0.655795,0.169963,0.158154,1.006831,0.656406
8,0.548491,0.466183,0.164614,0.166478,0.734709,0.655834,0.157751,0.160472,1.005950,0.656106
9,0.543640,0.465749,0.155783,0.167777,0.730050,0.654749,0.150601,0.162567,1.003892,0.654770
10,0.539832,0.465277,0.149110,0.168529,0.729110,0.656617,0.144987,0.159694,1.005722,0.656582
11,0.537223,0.464958,0.144529,0.168245,0.726871,0.655623,0.142497,0.161940,1.005706,0.655889
0,0.867238,0.507907,0.718662,0.031869,0.888787,0.686235,0.405104,0.048773,1.056831,0.686235
1,0.633060,0.487701,0.290720,0.058320,0.772911,0.671419,0.202985,0.063717,1.034573,0.671248
2,0.569730,0.479618,0.180223,0.075021,0.736929,0.665536,0.142784,0.075804,1.020498,0.665709
3,0.542153,0.474759,0.134788,0.086649,0.716271,0.659125,0.114292,0.089087,1.010729,0.659498
4,0.527441,0.471199,0.112485,0.099602,0.708187,0.658685,0.099004,0.100773,1.010033,0.658632
5,0.518071,0.469221,0.097701,0.110463,0.699210,0.655841,0.086738,0.109823,1.005682,0.655967
6,0.510688,0.467810,0.085755,0.118819,0.695062,0.656782,0.076561,0.118095,1.006591,0.656746
7,0.504667,0.466681,0.075972,0.125197,0.688376,0.653679,0.069392,0.118609,1.003430,0.654285
8,0.500486,0.465930,0.069113,0.129580,0.686290,0.654141,0.064297,0.124148,1.001395,0.654404
9,0.497523,0.465327,0.064393,0.132593,0.684626,0.654094,0.061063,0.126913,1.001516,0.654108
