epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.873635,0.476509,0.441251,0.169593,0.833525,0.657324,0.195779,0.194090,1.004765,0.657324
1,0.613029,0.464282,0.165274,0.197587,0.778297,0.656133,0.135737,0.196874,0.997830,0.656098
2,0.576802,0.460380,0.129357,0.199194,0.753749,0.652237,0.112791,0.183766,0.989296,0.652269
3,0.552610,0.458199,0.104902,0.184432,0.734963,0.652470,0.091658,0.173134,0.987850,0.652538
4,0.534108,0.456870,0.085820,0.177225,0.722102,0.652711,0.077101,0.168305,0.986735,0.652701
5,0.526704,0.455684,0.078911,0.172702,0.718490,0.651252,0.074709,0.166710,0.986344,0.651280
6,0.523525,0.454628,0.076552,0.171777,0.717619,0.651720,0.073222,0.167718,0.981885,0.651710
7,0.521525,0.453565,0.075511,0.175570,0.713637,0.649949,0.070765,0.174962,0.978930,0.650062
8,0.519341,0.452697,0.074049,0.177155,0.712576,0.649567,0.070011,0.173859,0.977819,0.649622
9,0.517907,0.452275,0.072924,0.178739,0.712759,0.651095,0.068515,0.174580,0.977634,0.651091
10,0.516053,0.451569,0.071649,0.178196,0.711241,0.651233,0.066675,0.172462,0.979344,0.651231
11,0.514238,0.451458,0.069755,0.177094,0.709319,0.650519,0.065334,0.172482,0.979126,0.650565
