h,mae,mse
1,0.1805603951215744,0.07834789901971817
2,0.20637305080890656,0.10228848457336426
3,0.2272966355085373,0.12467323988676071
4,0.24559108912944794,0.14603079855442047
5,0.26105326414108276,0.16533821821212769
6,0.27549299597740173,0.18443743884563446
7,0.28782734274864197,0.20201338827610016
8,0.2973809540271759,0.21614573895931244
9,0.3066951334476471,0.2306843101978302
10,0.3158620595932007,0.24458883702754974
11,0.3240012228488922,0.2574687898159027
12,0.33086201548576355,0.2689353823661804
13,0.3374403417110443,0.2796338200569153
14,0.34356531500816345,0.2901577055454254
15,0.3491116762161255,0.3001098930835724
16,0.3528754711151123,0.3073492646217346
17,0.3564920723438263,0.31468281149864197
18,0.3592301309108734,0.32116422057151794
19,0.3613569438457489,0.3261328637599945
20,0.36313557624816895,0.33060333132743835
21,0.36463475227355957,0.33349019289016724
22,0.36717379093170166,0.33839091658592224
23,0.36817365884780884,0.34121137857437134
24,0.36824485659599304,0.3416949510574341
25,0.3701239228248596,0.34499919414520264
26,0.3714168071746826,0.34736138582229614
27,0.3709332048892975,0.3475345969200134
28,0.3718262016773224,0.34888115525245667
29,0.37247997522354126,0.34992945194244385
30,0.3730257749557495,0.3511136770248413
31,0.37262359261512756,0.3511829376220703
32,0.3727862238883972,0.3519778251647949
33,0.37372520565986633,0.3533626198768616
34,0.3727504312992096,0.3528214395046234
35,0.37286850810050964,0.3531913757324219
36,0.37255528569221497,0.3532387614250183
37,0.37271836400032043,0.3534340262413025
38,0.37292811274528503,0.3537563681602478
39,0.37329497933387756,0.35417822003364563
40,0.3737536072731018,0.35472428798675537
41,0.37422478199005127,0.35525789856910706
42,0.37451520562171936,0.35541263222694397
43,0.3733069896697998,0.35458019375801086
44,0.37313807010650635,0.3546716868877411
45,0.37262192368507385,0.35405367612838745
46,0.3734792470932007,0.354872465133667
47,0.37393906712532043,0.35536640882492065
48,0.37421196699142456,0.355323851108551
49,0.37422871589660645,0.35513415932655334
50,0.3738498389720917,0.3545348644256592
51,0.3734407126903534,0.354204386472702
52,0.37378576397895813,0.3546452820301056
53,0.3748458921909332,0.35564789175987244
54,0.3749137818813324,0.3557703197002411
55,0.3751128613948822,0.3559277653694153
56,0.3751172125339508,0.35621339082717896
57,0.37578192353248596,0.3566550612449646
58,0.376554399728775,0.357460618019104
59,0.37589889764785767,0.35692712664604187
60,0.3761553168296814,0.357132226228714
61,0.376146137714386,0.3573354482650757
62,0.3765433430671692,0.3576468825340271
63,0.3766593635082245,0.35773393511772156
64,0.3776942491531372,0.3588106632232666
65,0.3770115077495575,0.3581561744213104
66,0.3765972852706909,0.35757333040237427
67,0.3757784366607666,0.356760174036026
68,0.376064658164978,0.3571174740791321
69,0.3755709230899811,0.3564409613609314
70,0.3754833936691284,0.35617393255233765
71,0.37504470348358154,0.3559337556362152
72,0.3752249777317047,0.3560709059238434
73,0.3750517964363098,0.35585710406303406
74,0.3757919669151306,0.35643842816352844
