epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.880443,0.558313,0.644260,0.155339,0.554841,0.278792,0.552097,0.158832,0.278226,0.358576
1,0.782156,0.530232,0.503848,0.177453,0.502873,0.275093,0.455559,0.169970,0.275366,0.356378
2,0.734241,0.517134,0.434214,0.186353,0.470693,0.276745,0.387897,0.172902,0.276583,0.356960
3,0.698428,0.507782,0.381293,0.191061,0.443779,0.276389,0.334779,0.175669,0.276596,0.357205
0,0.877600,0.558345,0.638510,0.155815,0.553484,0.278867,0.549233,0.159672,0.278301,0.358607
1,0.773901,0.531273,0.485256,0.179713,0.502276,0.274809,0.454933,0.171824,0.275084,0.356090
2,0.723247,0.520150,0.406194,0.189559,0.465629,0.274963,0.381332,0.176760,0.274810,0.355902
3,0.680691,0.509131,0.343118,0.192141,0.436720,0.275188,0.323065,0.176641,0.275400,0.356664
0,0.880126,0.558225,0.643803,0.156046,0.554506,0.278719,0.551574,0.160004,0.278153,0.358593
1,0.781331,0.530179,0.502303,0.179197,0.502331,0.274846,0.454969,0.171195,0.275117,0.356272
2,0.733538,0.517973,0.431129,0.187528,0.469014,0.276293,0.385442,0.173863,0.276140,0.356820
3,0.697637,0.508584,0.378107,0.192171,0.442867,0.275244,0.335246,0.176735,0.275466,0.356543
0,0.882738,0.557854,0.649769,0.133582,0.556749,0.278216,0.557067,0.137408,0.277650,0.358543
1,0.782767,0.525695,0.514145,0.153924,0.512146,0.273977,0.476338,0.144960,0.274251,0.356129
2,0.739197,0.512013,0.454369,0.160223,0.480054,0.274371,0.411367,0.148983,0.274232,0.355855
3,0.703261,0.502615,0.401293,0.163507,0.451074,0.272739,0.356669,0.149876,0.272933,0.355315
4,0.675837,0.493681,0.364311,0.166594,0.434964,0.274365,0.321199,0.153789,0.274253,0.355931
5,0.655231,0.484049,0.342365,0.167749,0.423467,0.274282,0.298370,0.153540,0.274486,0.357482
0,0.879333,0.557959,0.642749,0.148355,0.555262,0.278687,0.553150,0.150308,0.278122,0.358411
1,0.777714,0.525032,0.505364,0.166071,0.506455,0.275308,0.462295,0.152563,0.275573,0.356613
2,0.728407,0.509863,0.437087,0.171490,0.472449,0.277137,0.390624,0.161018,0.276988,0.357346
3,0.690342,0.499788,0.381109,0.177452,0.444059,0.277258,0.333600,0.162644,0.277450,0.357832
0,0.877823,0.557542,0.640562,0.148300,0.552858,0.278511,0.548694,0.151730,0.277950,0.358313
1,0.775190,0.523551,0.503277,0.167484,0.504455,0.275346,0.458217,0.153558,0.275596,0.356923
2,0.724567,0.508441,0.432252,0.172715,0.472123,0.278768,0.386710,0.160689,0.278610,0.358482
3,0.686493,0.498421,0.376144,0.177775,0.444055,0.278792,0.330526,0.157952,0.278969,0.359296
