epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.308984,0.308984,1.000000,0.142517,0.142517,0.000000,0.000000,0.142384,0.265393
1,0.255767,0.255767,1.000000,0.134833,0.134833,0.000000,0.000000,0.134862,0.256484
2,0.238433,0.238433,1.000000,0.131211,0.131211,0.000000,0.000000,0.131207,0.252255
3,0.228314,0.228314,1.000000,0.129590,0.129590,0.000000,0.000000,0.129552,0.249962
4,0.221413,0.221413,1.000000,0.128308,0.128308,0.000000,0.000000,0.128234,0.248370
5,0.216470,0.216470,1.000000,0.128499,0.128499,0.000000,0.000000,0.128497,0.248320
6,0.213007,0.213007,1.000000,0.127682,0.127682,0.000000,0.000000,0.127924,0.247220
7,0.210445,0.210445,1.000000,0.127180,0.127180,0.000000,0.000000,0.127319,0.246570
8,0.208387,0.208387,1.000000,0.127902,0.127902,0.000000,0.000000,0.127920,0.246767
9,0.206629,0.206629,1.000000,0.127453,0.127453,0.000000,0.000000,0.127350,0.246087
0,0.308957,0.308957,1.000000,0.142500,0.142500,0.000000,0.000000,0.142367,0.265388
1,0.255893,0.255893,1.000000,0.134979,0.134979,0.000000,0.000000,0.135006,0.256563
2,0.238390,0.238390,1.000000,0.131336,0.131336,0.000000,0.000000,0.131335,0.252342
3,0.228223,0.228223,1.000000,0.129505,0.129505,0.000000,0.000000,0.129466,0.250003
4,0.221628,0.221628,1.000000,0.128343,0.128343,0.000000,0.000000,0.128277,0.248381
5,0.216546,0.216546,1.000000,0.128402,0.128402,0.000000,0.000000,0.128409,0.248259
6,0.212705,0.212705,1.000000,0.127424,0.127424,0.000000,0.000000,0.127663,0.246903
7,0.210105,0.210105,1.000000,0.126833,0.126833,0.000000,0.000000,0.126977,0.246299
8,0.208174,0.208174,1.000000,0.127464,0.127464,0.000000,0.000000,0.127490,0.246315
9,0.206084,0.206084,1.000000,0.127080,0.127080,0.000000,0.000000,0.126978,0.245669
