epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.870144,0.886771,0.934278,0.053150,1.739390,0.636466,0.984712,0.060682,0.636257,0.556995
1,1.846258,0.864590,0.932791,0.057028,1.716381,0.619746,0.983280,0.062198,0.619838,0.547478
2,1.827353,0.852156,0.931007,0.058697,1.699178,0.614022,0.981635,0.063555,0.613964,0.543257
3,1.810949,0.844325,0.929457,0.059952,1.682588,0.608486,0.980014,0.064926,0.608223,0.539880
4,1.797076,0.840845,0.928195,0.061097,1.668957,0.607723,0.978710,0.064733,0.607472,0.538842
5,1.784629,0.839657,0.926369,0.061357,1.657742,0.610841,0.977400,0.063883,0.610940,0.539994
6,1.771284,0.836330,0.925482,0.060777,1.643464,0.607465,0.976495,0.064060,0.607581,0.538180
7,1.756480,0.830065,0.924496,0.061088,1.630488,0.605859,0.975374,0.063700,0.605604,0.537092
8,1.746225,0.831746,0.923561,0.060916,1.619159,0.606736,0.974445,0.063512,0.607065,0.537417
9,1.734614,0.830657,0.922529,0.060618,1.609168,0.609547,0.973540,0.063433,0.608868,0.538061
10,1.722810,0.828902,0.921611,0.060820,1.595760,0.605625,0.972702,0.063527,0.605910,0.536869
11,1.709260,0.823735,0.921039,0.060752,1.585012,0.605805,0.972064,0.063257,0.605118,0.536179
12,1.699396,0.824837,0.920229,0.060994,1.574294,0.605681,0.971423,0.063589,0.606166,0.536598
13,1.687258,0.821576,0.919690,0.061335,1.564901,0.607732,0.970722,0.063389,0.607942,0.537361
