epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.578271,0.485112,0.931583,0.000000,0.348927,0.250766,0.981610,0.045826,0.250813,0.351270
1,0.547410,0.454902,0.925083,0.000000,0.328399,0.230324,0.980747,0.128865,0.230288,0.332605
2,0.498686,0.406647,0.920393,0.000000,0.330939,0.233356,0.975824,0.156226,0.233256,0.333278
3,0.482078,0.390108,0.919699,0.000000,0.330777,0.233484,0.972930,0.171679,0.233413,0.332639
0,0.565330,0.472322,0.930080,0.000000,0.329052,0.230948,0.981035,0.124075,0.231083,0.334300
1,0.517993,0.425528,0.924650,0.000000,0.330779,0.233376,0.974033,0.165703,0.232976,0.332263
2,0.484191,0.392353,0.918381,0.000000,0.327515,0.230768,0.967475,0.156408,0.231041,0.329675
3,0.469754,0.378583,0.911711,0.000000,0.328996,0.233041,0.959548,0.165543,0.232993,0.331409
4,0.457392,0.366693,0.906994,0.000000,0.328128,0.233404,0.947246,0.161456,0.233189,0.330982
0,0.558692,0.467626,0.910660,0.000000,0.320178,0.227002,0.931759,0.179622,0.227139,0.329720
1,0.520293,0.437931,0.823627,0.000000,0.306463,0.225439,0.810245,0.228550,0.225038,0.324302
2,0.487310,0.413218,0.740915,0.000000,0.297246,0.223156,0.740897,0.245648,0.223381,0.322422
3,0.472268,0.403497,0.687710,0.000000,0.295169,0.225177,0.699920,0.263035,0.225229,0.322779
4,0.460096,0.393957,0.661385,0.000000,0.291381,0.223736,0.676453,0.271760,0.223582,0.321994
5,0.455612,0.391550,0.640614,0.000000,0.289992,0.223012,0.669797,0.274660,0.222999,0.322349
6,0.451694,0.388087,0.636069,0.000000,0.294319,0.227707,0.666123,0.277996,0.227627,0.324453
7,0.438693,0.375915,0.627779,0.000000,0.293739,0.228078,0.656609,0.285423,0.228203,0.325059
0,0.558625,0.467865,0.907606,0.000000,0.319663,0.227074,0.925888,0.189447,0.227212,0.329647
1,0.521707,0.439405,0.823021,0.000000,0.306692,0.224764,0.819283,0.225953,0.224353,0.323666
2,0.490651,0.415420,0.752314,0.000000,0.296507,0.220907,0.756005,0.239623,0.221128,0.320996
3,0.476604,0.406594,0.700103,0.000000,0.293360,0.222373,0.709874,0.257854,0.222459,0.321119
4,0.465184,0.398207,0.669772,0.000000,0.290084,0.221809,0.682755,0.268348,0.221653,0.320756
5,0.461021,0.396067,0.649534,0.000000,0.288921,0.221180,0.677413,0.269049,0.221178,0.320862
6,0.457200,0.392815,0.643853,0.000000,0.291089,0.223735,0.673540,0.270316,0.223704,0.321703
7,0.444296,0.380870,0.634261,0.000000,0.290874,0.224389,0.664847,0.277745,0.224494,0.322482
