epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.626345,0.430574,0.918370,0.000000,1.776878,0.770779,0.736480,0.182787,0.772572,0.589013
1,1.549307,0.380712,0.745326,0.000000,1.721552,0.737659,0.602670,0.177743,0.739297,0.574947
2,1.494132,0.369300,0.609173,0.000000,1.684574,0.732948,0.501211,0.180746,0.725085,0.567967
3,1.444363,0.362206,0.512731,0.000000,1.652496,0.730039,0.434443,0.185246,0.718039,0.565408
4,1.398858,0.356900,0.450276,0.000000,1.623325,0.725561,0.397344,0.187998,0.713855,0.563210
5,1.357221,0.352779,0.412904,0.000000,1.601399,0.727575,0.368664,0.191317,0.713471,0.563412
6,1.319467,0.350368,0.388461,0.000000,1.564304,0.704424,0.354433,0.195919,0.707368,0.561142
7,1.282994,0.346324,0.371829,0.000000,1.544836,0.702988,0.342196,0.199751,0.706287,0.560997
8,1.251245,0.345446,0.359081,0.000000,1.528488,0.702886,0.332071,0.202418,0.705576,0.561125
9,1.219356,0.341643,0.349349,0.000000,1.513443,0.702283,0.326011,0.205212,0.704130,0.561005
10,1.192980,0.341911,0.341495,0.000000,1.499585,0.702251,0.316883,0.209337,0.705100,0.561524
11,1.164135,0.337220,0.335383,0.000000,1.481427,0.697146,0.308967,0.213454,0.702778,0.561199
12,1.140909,0.337092,0.328720,0.000000,1.470866,0.699758,0.304809,0.219032,0.704046,0.560957
13,1.116597,0.334054,0.323670,0.000000,1.462128,0.704482,0.301581,0.220155,0.707261,0.563119
14,1.095509,0.332963,0.319085,0.000000,1.448519,0.704969,0.296114,0.222696,0.708642,0.564336
