loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384718, 0.384135, 0.399459, 6.79 M Ops, 1.49 M Ops, 1.25 M Ops, 0.0516 M, 0.3917 %, 7.07 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.383461, 0.382846, 0.400602, 13.15 M Ops, 2.54 M Ops, 1.44 M Ops, 0.0590 M, 0.3875 %, 8.90 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384159, 0.383514, 0.400142, 13.15 M Ops, 2.61 M Ops, 1.44 M Ops, 0.0590 M, 0.3883 %, 8.96 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384693, 0.384037, 0.401142, 13.12 M Ops, 2.49 M Ops, 2.30 M Ops, 0.0590 M, 0.4199 %, 12.84 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.385942, 0.385194, 0.400572, 13.06 M Ops, 2.42 M Ops, 1.43 M Ops, 0.0579 M, 0.3755 %, 8.76 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384168, 0.383431, 0.400348, 16.88 M Ops, 3.38 M Ops, 1.65 M Ops, 0.0579 M, 0.5023 %, 10.63 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.383487, 0.382705, 0.400058, 16.80 M Ops, 3.44 M Ops, 1.56 M Ops, 0.0579 M, 0.4556 %, 10.29 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.413169, 0.411760, 0.412491, 14.87 M Ops, 2.81 M Ops, 1.54 M Ops, 0.0579 M, 0.4011 %, 9.59 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.398212, 0.397043, 0.406587, 14.31 M Ops, 2.76 M Ops, 0.98 M Ops, 0.0579 M, 0.2507 %, 6.97 uJ
