epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.485569,0.485569,1.000000,0.238768,0.238768,0.000000,0.000000,0.238293,0.339783
1,0.449730,0.449730,1.000000,0.233275,0.233275,0.000000,0.000000,0.232699,0.332487
2,0.430381,0.430381,1.000000,0.227836,0.227836,0.000000,0.000000,0.228281,0.328135
3,0.423188,0.423188,1.000000,0.227418,0.227418,0.000000,0.000000,0.227782,0.326735
4,0.416869,0.416869,1.000000,0.226880,0.226880,0.000000,0.000000,0.226250,0.325563
5,0.414453,0.414453,1.000000,0.224287,0.224287,0.000000,0.000000,0.224246,0.323545
6,0.410789,0.410789,1.000000,0.225093,0.225093,0.000000,0.000000,0.225186,0.324037
7,0.403800,0.403800,1.000000,0.225232,0.225232,0.000000,0.000000,0.225324,0.324170
0,0.568490,0.477217,0.912733,0.136636,0.321077,0.230663,0.904144,0.162744,0.230230,0.330693
1,0.530372,0.446687,0.836858,0.147436,0.313425,0.228154,0.852705,0.160802,0.227583,0.326302
2,0.507382,0.428240,0.791428,0.152468,0.309147,0.227463,0.816836,0.166969,0.227847,0.325408
3,0.495989,0.419316,0.766729,0.155729,0.303040,0.223816,0.792237,0.172077,0.224234,0.323140
4,0.485446,0.410847,0.745995,0.158386,0.303053,0.225927,0.771258,0.169115,0.225310,0.323480
