loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.426758, 0.425047, 0.440747, 70.82 M Ops, 9.35 M Ops, 5.79 M Ops, 0.6039 M, 1.6724 %, 35.05 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.418465, 0.416649, 0.436537, 70.82 M Ops, 8.79 M Ops, 5.79 M Ops, 0.6039 M, 1.6717 %, 34.55 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.421101, 0.419385, 0.437567, 70.82 M Ops, 8.83 M Ops, 5.79 M Ops, 0.6039 M, 1.6718 %, 34.58 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.429962, 0.428133, 0.443037, 62.85 M Ops, 7.73 M Ops, 5.70 M Ops, 0.6039 M, 2.0490 %, 33.18 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.433016, 0.431186, 0.442666, 61.58 M Ops, 7.95 M Ops, 4.43 M Ops, 0.6039 M, 1.2002 %, 27.53 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.429874, 0.427995, 0.444539, 94.14 M Ops, 10.64 M Ops, 11.88 M Ops, 0.6418 M, 5.6350 %, 64.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.426946, 0.425191, 0.440655, 97.67 M Ops, 12.17 M Ops, 7.99 M Ops, 0.6587 M, 2.7374 %, 47.70 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.421211, 0.419673, 0.438516, 97.67 M Ops, 12.56 M Ops, 7.99 M Ops, 0.6587 M, 2.7385 %, 48.05 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.452838, 0.451026, 0.458153, 97.67 M Ops, 6.90 M Ops, 7.99 M Ops, 0.6587 M, 2.7297 %, 42.96 uJ
