epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.527243,0.493351,0.677842,0.121243,0.278030,0.243107,0.698461,0.098744,0.243245,0.343619
1,0.497216,0.466060,0.623111,0.128067,0.262711,0.233013,0.593965,0.135025,0.232598,0.331811
2,0.467832,0.440215,0.552335,0.128976,0.253133,0.227109,0.520488,0.136620,0.227355,0.326759
3,0.456697,0.431463,0.504670,0.128593,0.249353,0.225451,0.478035,0.133598,0.225528,0.324597
4,0.447249,0.423552,0.473939,0.127857,0.247276,0.223771,0.470094,0.127051,0.223605,0.323083
5,0.444778,0.422172,0.452102,0.128002,0.245841,0.222514,0.466548,0.121440,0.222476,0.322601
6,0.440382,0.418622,0.435207,0.127440,0.244555,0.222809,0.434916,0.127529,0.222767,0.321829
7,0.429575,0.408520,0.421106,0.128108,0.242774,0.221782,0.419838,0.127023,0.221855,0.321417
8,0.465620,0.445296,0.406470,0.127488,0.245857,0.225571,0.405701,0.127334,0.225352,0.322879
9,0.425281,0.405586,0.393883,0.126710,0.242631,0.222734,0.397944,0.125937,0.222776,0.321657
