epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.341824,0.341824,1.000000,0.286765,0.286765,0.000000,0.000000,0.192986,0.286816
1,0.325381,0.325381,1.000000,0.283672,0.283672,0.000000,0.000000,0.190221,0.283546
2,0.323741,0.323741,1.000000,0.284497,0.284497,0.000000,0.000000,0.190176,0.284468
3,0.322837,0.322837,1.000000,0.283929,0.283929,0.000000,0.000000,0.191476,0.283847
4,0.322222,0.322222,1.000000,0.282469,0.282469,0.000000,0.000000,0.188681,0.282425
5,0.321794,0.321794,1.000000,0.281795,0.281795,0.000000,0.000000,0.189410,0.281921
6,0.321250,0.321250,1.000000,0.282135,0.282135,0.000000,0.000000,0.189091,0.282185
7,0.320721,0.320721,1.000000,0.282514,0.282514,0.000000,0.000000,0.190244,0.282568
8,0.320499,0.320499,1.000000,0.281078,0.281078,0.000000,0.000000,0.188737,0.281133
9,0.320287,0.320287,1.000000,0.282207,0.282207,0.000000,0.000000,0.188876,0.282178
10,0.320153,0.320153,1.000000,0.282205,0.282205,0.000000,0.000000,0.188585,0.282255
11,0.320180,0.320180,1.000000,0.280395,0.280395,0.000000,0.000000,0.187839,0.280417
12,0.320105,0.320105,1.000000,0.281984,0.281984,0.000000,0.000000,0.190163,0.282092
13,0.320010,0.320010,1.000000,0.283753,0.283753,0.000000,0.000000,0.192370,0.283775
14,0.320027,0.320027,1.000000,0.283098,0.283098,0.000000,0.000000,0.191444,0.283179
