epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.410246,0.410246,1.000000,0.321415,0.321415,0.000000,0.000000,0.229601,0.321412
1,0.350479,0.350479,1.000000,0.303946,0.303946,0.000000,0.000000,0.209290,0.303945
2,0.338799,0.338799,1.000000,0.296393,0.296393,0.000000,0.000000,0.200616,0.296397
3,0.333145,0.333145,1.000000,0.292350,0.292350,0.000000,0.000000,0.197550,0.292347
4,0.329875,0.329875,1.000000,0.290130,0.290130,0.000000,0.000000,0.196142,0.290125
5,0.327744,0.327744,1.000000,0.288059,0.288059,0.000000,0.000000,0.193815,0.288091
6,0.326363,0.326363,1.000000,0.287451,0.287451,0.000000,0.000000,0.193862,0.287475
7,0.325445,0.325445,1.000000,0.286036,0.286036,0.000000,0.000000,0.192047,0.286027
8,0.324727,0.324727,1.000000,0.285792,0.285792,0.000000,0.000000,0.192114,0.285810
9,0.324262,0.324262,1.000000,0.286122,0.286122,0.000000,0.000000,0.192979,0.286108
10,0.323870,0.323870,1.000000,0.284907,0.284907,0.000000,0.000000,0.191398,0.284896
11,0.323458,0.323458,1.000000,0.284586,0.284586,0.000000,0.000000,0.191112,0.284623
12,0.323174,0.323174,1.000000,0.284424,0.284424,0.000000,0.000000,0.191293,0.284473
13,0.322922,0.322922,1.000000,0.284338,0.284338,0.000000,0.000000,0.191533,0.284361
14,0.322717,0.322717,1.000000,0.284755,0.284755,0.000000,0.000000,0.192236,0.284760
15,0.322514,0.322514,1.000000,0.284238,0.284238,0.000000,0.000000,0.191422,0.284233
16,0.322376,0.322376,1.000000,0.283696,0.283696,0.000000,0.000000,0.190771,0.283713
17,0.322262,0.322262,1.000000,0.283867,0.283867,0.000000,0.000000,0.191187,0.283869
18,0.322199,0.322199,1.000000,0.283335,0.283335,0.000000,0.000000,0.190473,0.283336
19,0.322097,0.322097,1.000000,0.283597,0.283597,0.000000,0.000000,0.190434,0.283573
20,0.322051,0.322051,1.000000,0.283441,0.283441,0.000000,0.000000,0.190467,0.283429
