epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.343330,0.343330,1.000000,0.265615,0.265615,0.000000,0.000000,0.158811,0.265627
1,0.283149,0.283149,1.000000,0.246419,0.246419,0.000000,0.000000,0.144072,0.246410
2,0.271310,0.271310,1.000000,0.240405,0.240405,0.000000,0.000000,0.139621,0.240410
3,0.266845,0.266845,1.000000,0.238765,0.238765,0.000000,0.000000,0.138797,0.238756
4,0.264454,0.264454,1.000000,0.236561,0.236561,0.000000,0.000000,0.137091,0.236543
5,0.262934,0.262934,1.000000,0.235045,0.235045,0.000000,0.000000,0.136197,0.235022
6,0.261702,0.261702,1.000000,0.234753,0.234753,0.000000,0.000000,0.136217,0.234744
7,0.260847,0.260847,1.000000,0.233824,0.233824,0.000000,0.000000,0.135588,0.233829
8,0.260020,0.260020,1.000000,0.233392,0.233392,0.000000,0.000000,0.135371,0.233411
9,0.259561,0.259561,1.000000,0.232511,0.232511,0.000000,0.000000,0.134694,0.232519
10,0.258944,0.258944,1.000000,0.232403,0.232403,0.000000,0.000000,0.134734,0.232367
11,0.258479,0.258479,1.000000,0.232393,0.232393,0.000000,0.000000,0.134675,0.232436
12,0.258036,0.258036,1.000000,0.232054,0.232054,0.000000,0.000000,0.134468,0.232044
13,0.257642,0.257642,1.000000,0.231848,0.231848,0.000000,0.000000,0.134437,0.231844
14,0.257264,0.257264,1.000000,0.231710,0.231710,0.000000,0.000000,0.134388,0.231706
15,0.256938,0.256938,1.000000,0.231251,0.231251,0.000000,0.000000,0.133982,0.231269
16,0.256608,0.256608,1.000000,0.232538,0.232538,0.000000,0.000000,0.134922,0.232558
17,0.256340,0.256340,1.000000,0.230695,0.230695,0.000000,0.000000,0.133527,0.230674
18,0.256010,0.256010,1.000000,0.230810,0.230810,0.000000,0.000000,0.133809,0.230812
19,0.255733,0.255733,1.000000,0.231287,0.231287,0.000000,0.000000,0.134140,0.231262
20,0.255528,0.255528,1.000000,0.230385,0.230385,0.000000,0.000000,0.133768,0.230387
21,0.255232,0.255232,1.000000,0.229981,0.229981,0.000000,0.000000,0.133089,0.229995
22,0.255082,0.255082,1.000000,0.230218,0.230218,0.000000,0.000000,0.133490,0.230246
23,0.254851,0.254851,1.000000,0.229949,0.229949,0.000000,0.000000,0.133350,0.229929
24,0.254621,0.254621,1.000000,0.230067,0.230067,0.000000,0.000000,0.133436,0.230079
25,0.254463,0.254463,1.000000,0.229669,0.229669,0.000000,0.000000,0.133142,0.229679
26,0.254316,0.254316,1.000000,0.230146,0.230146,0.000000,0.000000,0.133496,0.230158
27,0.254111,0.254111,1.000000,0.229998,0.229998,0.000000,0.000000,0.133564,0.230014
28,0.253992,0.253992,1.000000,0.229469,0.229469,0.000000,0.000000,0.133167,0.229469
29,0.253846,0.253846,1.000000,0.229836,0.229836,0.000000,0.000000,0.133502,0.229846
30,0.253708,0.253708,1.000000,0.229853,0.229853,0.000000,0.000000,0.133368,0.229857
31,0.253549,0.253549,1.000000,0.229622,0.229622,0.000000,0.000000,0.133228,0.229644
