epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.307248,0.284875,0.223726,0.166777,0.239028,0.231289,0.077395,0.193585,0.128801,0.231334
1,0.262611,0.254541,0.080696,0.213624,0.233991,0.228179,0.058126,0.229663,0.126828,0.228244
2,0.258728,0.251672,0.070561,0.236917,0.231736,0.226300,0.054368,0.244833,0.125641,0.226285
3,0.256990,0.250194,0.067960,0.247334,0.230124,0.224869,0.052557,0.250134,0.124487,0.224750
4,0.256018,0.249341,0.066770,0.252665,0.230374,0.225183,0.051907,0.254378,0.124731,0.225163
5,0.255374,0.248767,0.066077,0.255188,0.229288,0.224182,0.051065,0.255275,0.123659,0.224202
6,0.254758,0.248200,0.065575,0.256489,0.229039,0.223971,0.050675,0.257192,0.123847,0.223948
7,0.254323,0.247801,0.065225,0.257614,0.227737,0.222705,0.050316,0.259570,0.123014,0.222719
8,0.254123,0.247626,0.064966,0.258730,0.227175,0.222174,0.050006,0.258830,0.123174,0.222213
9,0.253761,0.247280,0.064819,0.259812,0.227598,0.222600,0.049985,0.261121,0.122816,0.222570
10,0.253526,0.247059,0.064670,0.260698,0.228715,0.223735,0.049804,0.260707,0.124226,0.223740
11,0.253475,0.247030,0.064453,0.261523,0.227105,0.222129,0.049767,0.261939,0.122940,0.222041
12,0.253379,0.246948,0.064309,0.262371,0.230582,0.225620,0.049626,0.262402,0.125535,0.225730
13,0.253215,0.246801,0.064145,0.263278,0.227304,0.222367,0.049369,0.264595,0.122827,0.222383
14,0.253126,0.246720,0.064060,0.264014,0.226143,0.221216,0.049273,0.264768,0.122214,0.221261
15,0.253205,0.246810,0.063949,0.264219,0.229108,0.224186,0.049226,0.265364,0.123968,0.224204
16,0.253046,0.246660,0.063856,0.264345,0.226825,0.221932,0.048926,0.266326,0.122811,0.221901
17,0.252891,0.246518,0.063727,0.264501,0.227981,0.223101,0.048793,0.265522,0.123722,0.223060
