epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.453973,0.294302,0.319342,0.162932,0.292724,0.235273,0.114903,0.173552,0.132073,0.235326
1,0.306242,0.255247,0.101989,0.185841,0.258404,0.226450,0.063909,0.202289,0.126100,0.226512
2,0.282284,0.249620,0.065327,0.221514,0.245819,0.223940,0.043758,0.238587,0.124359,0.223927
3,0.272239,0.247233,0.050011,0.254889,0.240478,0.222765,0.035425,0.267272,0.123752,0.222646
4,0.267956,0.245986,0.043941,0.279303,0.238174,0.222065,0.032217,0.286934,0.123233,0.222061
5,0.266163,0.245275,0.041777,0.293915,0.236603,0.221056,0.031095,0.298430,0.122613,0.221084
6,0.265053,0.244653,0.040800,0.302407,0.236172,0.220944,0.030454,0.304748,0.122768,0.220924
7,0.264349,0.244225,0.040248,0.307925,0.235005,0.220012,0.029986,0.309192,0.122060,0.220032
8,0.263828,0.243866,0.039924,0.311904,0.234830,0.219931,0.029798,0.311840,0.121959,0.219958
9,0.263444,0.243577,0.039734,0.315053,0.234703,0.219851,0.029704,0.315034,0.121987,0.219835
10,0.263111,0.243324,0.039574,0.317589,0.234519,0.219812,0.029414,0.317864,0.122116,0.219823
11,0.262903,0.243195,0.039415,0.319767,0.234716,0.220053,0.029326,0.319574,0.122314,0.219964
12,0.262724,0.243055,0.039337,0.321782,0.234507,0.219878,0.029260,0.321231,0.122250,0.219990
