h,mae,mse
1,0.16487319767475128,0.06326747685670853
2,0.19468951225280762,0.08913342654705048
3,0.20600388944149017,0.10295665264129639
4,0.21257412433624268,0.11298050731420517
5,0.21668028831481934,0.11993567645549774
6,0.21989673376083374,0.12490537017583847
7,0.22372400760650635,0.12925639748573303
8,0.22579412162303925,0.1330384910106659
9,0.22713547945022583,0.13599325716495514
10,0.22885754704475403,0.13888421654701233
11,0.22984753549098969,0.14120090007781982
12,0.23090454936027527,0.14378373324871063
13,0.2323826104402542,0.14605413377285004
14,0.23584716022014618,0.14850786328315735
15,0.23877228796482086,0.14992655813694
16,0.23837125301361084,0.15011541545391083
17,0.2389642596244812,0.15084674954414368
18,0.23949958384037018,0.15132541954517365
19,0.2386617660522461,0.15159127116203308
20,0.24113215506076813,0.15350094437599182
21,0.24327190220355988,0.15570157766342163
22,0.24609801173210144,0.15777480602264404
23,0.2464604675769806,0.15848799049854279
24,0.24043141305446625,0.15580609440803528
25,0.2508232295513153,0.16554991900920868
26,0.2577044665813446,0.17294105887413025
27,0.2604617774486542,0.17781631648540497
28,0.2634504735469818,0.18185466527938843
29,0.2638326585292816,0.18392911553382874
30,0.26510462164878845,0.18587370216846466
31,0.26823073625564575,0.18857431411743164
32,0.270624041557312,0.19079627096652985
33,0.27054131031036377,0.19204439222812653
34,0.27151599526405334,0.19312448799610138
35,0.2717476785182953,0.19460083544254303
36,0.2708839178085327,0.19510264694690704
37,0.27168622612953186,0.19563984870910645
38,0.2723408043384552,0.19566428661346436
39,0.2717811167240143,0.19445665180683136
40,0.2709503471851349,0.1938227415084839
41,0.2724771499633789,0.19489790499210358
42,0.2718346416950226,0.1937531679868698
43,0.2701980173587799,0.19289138913154602
44,0.2708844542503357,0.1930467188358307
45,0.2686304748058319,0.19079214334487915
46,0.2697628438472748,0.19052256643772125
47,0.2706579267978668,0.18973858654499054
48,0.26600027084350586,0.18678413331508636
49,0.26824191212654114,0.1890101134777069
50,0.2708647847175598,0.19204112887382507
51,0.27182841300964355,0.19404713809490204
52,0.2730875015258789,0.19562950730323792
53,0.2728131413459778,0.19601942598819733
54,0.2736831307411194,0.19629152119159698
55,0.27665627002716064,0.19704000651836395
56,0.27656087279319763,0.1974966824054718
57,0.2753199636936188,0.1971987634897232
58,0.27773240208625793,0.19755984842777252
59,0.27775973081588745,0.1974707543849945
60,0.2758631706237793,0.19702273607254028
61,0.27477407455444336,0.19637279212474823
62,0.27408164739608765,0.19509245455265045
63,0.2739485204219818,0.19293981790542603
64,0.27241387963294983,0.19066426157951355
65,0.2727165222167969,0.18925230205059052
66,0.272163987159729,0.1868608146905899
67,0.2698136866092682,0.1833944320678711
68,0.2685547173023224,0.18020088970661163
69,0.2699728012084961,0.17807942628860474
70,0.2721385061740875,0.17615430057048798
71,0.2733457088470459,0.1726306676864624
72,0.26204612851142883,0.1627391278743744
73,0.2536415159702301,0.15589681267738342
74,0.2545916736125946,0.15677553415298462
75,0.2534681260585785,0.15730823576450348
76,0.25523725152015686,0.15815435349941254
77,0.253488689661026,0.1576840728521347
78,0.25417646765708923,0.1582431048154831
79,0.2561173141002655,0.15907755494117737
80,0.2530929744243622,0.15899324417114258
81,0.25120633840560913,0.15868937969207764
82,0.25216877460479736,0.1587904542684555
83,0.25278088450431824,0.1585342437028885
84,0.2522450387477875,0.1585429310798645
85,0.25151848793029785,0.1587245613336563
86,0.25265538692474365,0.15916574001312256
87,0.25299566984176636,0.15929482877254486
88,0.25237348675727844,0.1594780683517456
89,0.25339290499687195,0.1604887694120407
90,0.25535643100738525,0.16018526256084442
91,0.2539891004562378,0.15969708561897278
92,0.25381186604499817,0.15957395732402802
93,0.2550847828388214,0.15991556644439697
94,0.2559659481048584,0.16028451919555664
95,0.2571355998516083,0.160442054271698
96,0.25305837392807007,0.1596841812133789
97,0.25365951657295227,0.1610860675573349
98,0.25571826100349426,0.1624460369348526
99,0.25542452931404114,0.16342924535274506
100,0.2554824650287628,0.16345912218093872
101,0.2548300325870514,0.16285893321037292
102,0.25522202253341675,0.16329824924468994
103,0.2564018666744232,0.16386353969573975
104,0.25550684332847595,0.16410136222839355
105,0.25572752952575684,0.1651512086391449
106,0.2568037211894989,0.16614851355552673
107,0.2557259500026703,0.16504624485969543
108,0.2556377351284027,0.1646144986152649
109,0.25624701380729675,0.16462251543998718
110,0.2582469880580902,0.1655838042497635
111,0.2583361566066742,0.16541628539562225
112,0.257863312959671,0.16607613861560822
113,0.25922831892967224,0.16769197583198547
114,0.26037588715553284,0.1674806773662567
115,0.25998619198799133,0.1664869785308838
116,0.26001614332199097,0.16630686819553375
117,0.25915762782096863,0.16551896929740906
118,0.25932589173316956,0.16527794301509857
119,0.2602078914642334,0.16545307636260986
120,0.25790131092071533,0.16615121066570282
121,0.2598687708377838,0.16869613528251648
122,0.26108425855636597,0.16936302185058594
123,0.26185163855552673,0.17055130004882812
124,0.26312896609306335,0.1714010387659073
125,0.26112547516822815,0.17048443853855133
126,0.26001521944999695,0.17000293731689453
127,0.2595164179801941,0.1692766398191452
128,0.2591811418533325,0.16932345926761627
129,0.258712500333786,0.16885410249233246
130,0.25960612297058105,0.16984370350837708
131,0.25904378294944763,0.1693984717130661
132,0.25905805826187134,0.1691340059041977
133,0.260286808013916,0.1698583960533142
134,0.2624366879463196,0.17104960978031158
135,0.2631075978279114,0.17130418121814728
136,0.26549920439720154,0.17426283657550812
137,0.2693765163421631,0.17814218997955322
138,0.26777398586273193,0.17623290419578552
139,0.26498135924339294,0.17293180525302887
140,0.2647673189640045,0.17247602343559265
141,0.26290982961654663,0.17010559141635895
142,0.26004329323768616,0.16864387691020966
143,0.2607916593551636,0.16823919117450714
144,0.26000621914863586,0.1692480444908142
145,0.2624889612197876,0.17217294871807098
146,0.263834148645401,0.1727631688117981
147,0.26345130801200867,0.17260479927062988
148,0.2637336850166321,0.17264004051685333
149,0.2625216543674469,0.17231138050556183
150,0.26311904191970825,0.17214816808700562
151,0.26401811838150024,0.1727207452058792
152,0.26295286417007446,0.17234107851982117
153,0.26288890838623047,0.17279775440692902
154,0.26352357864379883,0.17342211306095123
155,0.26314568519592285,0.17310422658920288
156,0.26324033737182617,0.1728971302509308
157,0.26462310552597046,0.17413261532783508
158,0.26522594690322876,0.17473548650741577
159,0.26428326964378357,0.17370185256004333
160,0.26477915048599243,0.1743248850107193
161,0.266909122467041,0.17672526836395264
162,0.266862690448761,0.17598223686218262
163,0.2656465470790863,0.17491458356380463
164,0.26566728949546814,0.17485366761684418
165,0.2645939290523529,0.1738007813692093
