epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.323322,0.344116,0.149174,0.761985,0.271012,0.296458,0.057899,0.558115,0.225753,0.296431
1,0.300628,0.330083,0.053944,0.437673,0.264328,0.290825,0.042420,0.372598,0.219819,0.290646
2,0.296321,0.326519,0.043414,0.342352,0.261968,0.288813,0.037141,0.325161,0.217714,0.288615
3,0.294355,0.324892,0.038609,0.313096,0.261807,0.288976,0.034267,0.301608,0.217929,0.289020
4,0.293021,0.323853,0.034801,0.297865,0.260314,0.287712,0.030854,0.295611,0.217590,0.287779
5,0.292070,0.323118,0.032048,0.293035,0.258663,0.286040,0.029381,0.290739,0.215216,0.286058
6,0.291449,0.322585,0.030682,0.289749,0.259671,0.287319,0.028125,0.285947,0.217496,0.287221
7,0.291005,0.322225,0.029538,0.287866,0.258036,0.285607,0.027131,0.285063,0.214667,0.285513
8,0.290581,0.321875,0.028498,0.287954,0.258501,0.286246,0.026140,0.285599,0.215512,0.286275
9,0.290233,0.321594,0.027583,0.288689,0.257192,0.284838,0.025661,0.286183,0.214647,0.284806
10,0.289940,0.321344,0.026931,0.289161,0.257188,0.284905,0.025055,0.286326,0.214775,0.284948
11,0.289674,0.321109,0.026404,0.287679,0.257149,0.284912,0.024637,0.285487,0.214971,0.284875
