epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.685150,0.677892,0.725775,0.130572,0.976340,0.969394,0.694605,0.163193,1.359002,0.971022
1,0.669432,0.663317,0.611491,0.141776,0.944655,0.938558,0.609704,0.166047,1.289487,0.939324
2,0.664187,0.658726,0.546038,0.145542,0.927230,0.921724,0.550640,0.166365,1.232277,0.913836
3,0.661159,0.656239,0.491961,0.149013,0.888778,0.883895,0.488313,0.174476,1.179914,0.888310
4,0.658678,0.654282,0.439559,0.151855,0.867605,0.863413,0.419229,0.171689,1.134065,0.870417
5,0.656700,0.652719,0.398111,0.154543,0.853879,0.850043,0.383634,0.180920,1.128457,0.863497
6,0.655185,0.651551,0.363455,0.156569,0.854250,0.850803,0.344719,0.177266,1.102267,0.853085
7,0.653738,0.650439,0.329967,0.158664,0.845308,0.842304,0.300368,0.179757,1.092605,0.849593
8,0.652958,0.649924,0.303328,0.160819,0.842536,0.839769,0.276681,0.184996,1.097466,0.849376
9,0.652242,0.649417,0.282461,0.162265,0.855006,0.852596,0.241055,0.185260,1.081721,0.842722
10,0.651400,0.648778,0.262187,0.163750,0.862565,0.860352,0.221309,0.185382,1.108362,0.857903
