epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,1.411951,0.684440,0.727511,0.065910,1.654863,0.947898,0.706965,0.084434,1.306546,0.948417
1,1.274677,0.671712,0.602965,0.071597,1.529467,0.922992,0.606475,0.087734,1.255893,0.924284
2,1.197320,0.666873,0.530447,0.078314,1.460169,0.907704,0.552466,0.093607,1.205933,0.901552
3,1.146002,0.664183,0.481819,0.084792,1.393235,0.878190,0.515044,0.101581,1.163898,0.882416
4,1.098676,0.662213,0.436463,0.090286,1.334945,0.867521,0.467424,0.102787,1.135666,0.870909
5,1.051268,0.660605,0.390663,0.094903,1.263378,0.851073,0.412305,0.109777,1.114278,0.859334
6,1.005771,0.659436,0.346335,0.098815,1.223119,0.857048,0.366071,0.113719,1.108071,0.857443
7,0.966482,0.658242,0.308241,0.103327,1.177934,0.850196,0.327738,0.120122,1.104046,0.855036
8,0.934122,0.657612,0.276510,0.107358,1.144805,0.851172,0.293633,0.123400,1.115894,0.859484
9,0.906506,0.657055,0.249451,0.110798,1.118768,0.856151,0.262617,0.126116,1.099571,0.851348
