epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.520688,0.454199,0.664890,0.153943,0.478165,0.432131,0.460335,0.205689,0.359860,0.433582
1,0.480667,0.441435,0.392320,0.209628,0.472397,0.436037,0.363593,0.238786,0.360438,0.434098
2,0.470620,0.438327,0.322932,0.230981,0.459350,0.429064,0.302858,0.258320,0.354518,0.427484
3,0.463748,0.436602,0.271460,0.252732,0.455408,0.428750,0.266573,0.274753,0.359068,0.431338
4,0.460594,0.435984,0.246105,0.266713,0.461230,0.436776,0.244532,0.286543,0.366278,0.437481
5,0.457824,0.434921,0.229024,0.279221,0.460048,0.437024,0.230238,0.296952,0.363753,0.435648
6,0.456187,0.434459,0.217275,0.288851,0.449227,0.427212,0.220145,0.304600,0.358646,0.430173
7,0.454039,0.433438,0.206007,0.301763,0.457790,0.437767,0.200228,0.327867,0.366227,0.436624
8,0.450824,0.433083,0.177407,0.330401,0.439177,0.424119,0.150584,0.368742,0.351081,0.425780
9,0.445172,0.432358,0.128139,0.355918,0.448078,0.437094,0.109840,0.371534,0.366439,0.437113
10,0.442830,0.431938,0.108923,0.353699,0.439468,0.429097,0.103715,0.363185,0.358082,0.430319
11,0.441398,0.431208,0.101908,0.350167,0.443160,0.433242,0.099173,0.362508,0.363276,0.434089
