epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.664526,0.664526,1.000000,0.879323,0.879323,0.000000,0.000000,1.160037,0.879323
1,0.652610,0.652610,1.000000,0.867574,0.867574,0.000000,0.000000,1.131570,0.867574
2,0.649980,0.649980,1.000000,0.890665,0.890665,0.000000,0.000000,1.181159,0.890665
3,0.648161,0.648161,1.000000,0.845032,0.845032,0.000000,0.000000,1.091487,0.845032
4,0.646508,0.646508,1.000000,0.841167,0.841167,0.000000,0.000000,1.080318,0.841167
5,0.644499,0.644499,1.000000,0.856175,0.856175,0.000000,0.000000,1.114027,0.856175
6,0.643405,0.643405,1.000000,0.836597,0.836597,0.000000,0.000000,1.075295,0.836597
7,0.641091,0.641091,1.000000,0.838141,0.838141,0.000000,0.000000,1.084387,0.838141
8,0.640077,0.640077,1.000000,0.862253,0.862253,0.000000,0.000000,1.150472,0.862253
9,0.639211,0.639211,1.000000,0.857693,0.857693,0.000000,0.000000,1.139325,0.857693
