h,mae,mse
1,0.03646273910999298,0.004506789147853851
2,0.04516737535595894,0.005806857254356146
3,0.052980296313762665,0.0071357060223817825
4,0.06047385185956955,0.008809881284832954
5,0.06761198490858078,0.010829196311533451
6,0.07427675276994705,0.012848936952650547
7,0.0801691934466362,0.014875760301947594
8,0.08498283475637436,0.01651318557560444
9,0.08934056013822556,0.01807430200278759
10,0.09424958378076553,0.02002505213022232
11,0.09777136147022247,0.021401051431894302
12,0.10239899158477783,0.0232277549803257
13,0.10687407851219177,0.025185631588101387
14,0.11109206080436707,0.027142394334077835
15,0.11378461867570877,0.028280258178710938
16,0.11751589924097061,0.02993282489478588
17,0.12133962661027908,0.03157385438680649
18,0.12448721379041672,0.033025819808244705
19,0.12770016491413116,0.0347006618976593
20,0.13067620992660522,0.03625357523560524
21,0.13359029591083527,0.0377856008708477
22,0.13699142634868622,0.03939968720078468
23,0.14045819640159607,0.04110673442482948
24,0.1433272659778595,0.0426105260848999
25,0.14643016457557678,0.04424114525318146
26,0.14833995699882507,0.045008886605501175
27,0.15181080996990204,0.046991847455501556
28,0.15527714788913727,0.048712242394685745
29,0.1571042537689209,0.049763377755880356
30,0.1591521054506302,0.05091862753033638
31,0.16265809535980225,0.05288838595151901
32,0.16501349210739136,0.05397076904773712
33,0.1679033637046814,0.05565309897065163
34,0.1704968959093094,0.057231202721595764
35,0.17300015687942505,0.05876384675502777
36,0.17590638995170593,0.060735926032066345
37,0.1783682256937027,0.06230277195572853
38,0.18050004541873932,0.0637187734246254
39,0.18317684531211853,0.06551335752010345
40,0.18618272244930267,0.06755270063877106
41,0.18921701610088348,0.0696672722697258
42,0.1909072995185852,0.07092363387346268
43,0.19300638139247894,0.07253430783748627
44,0.19505737721920013,0.07434720546007156
45,0.1981741487979889,0.0769512727856636
46,0.1998804658651352,0.07844695448875427
47,0.20266450941562653,0.08056360483169556
48,0.2046016901731491,0.08226670324802399
49,0.20689544081687927,0.08394037932157516
50,0.20857805013656616,0.08535577356815338
51,0.21088609099388123,0.08721376210451126
52,0.21332862973213196,0.08888494223356247
53,0.21614879369735718,0.0909193679690361
54,0.219017893075943,0.09307434409856796
55,0.22072672843933105,0.09413812309503555
56,0.22359532117843628,0.09644968062639236
57,0.22541533410549164,0.0980428084731102
58,0.22796893119812012,0.10052686929702759
59,0.23026292026042938,0.10279077291488647
60,0.23306865990161896,0.10533765703439713
61,0.23499229550361633,0.1070452481508255
62,0.23752623796463013,0.10933012515306473
63,0.23992009460926056,0.11130956560373306
64,0.24213489890098572,0.11346113681793213
65,0.24422340095043182,0.1149803027510643
66,0.24762365221977234,0.11783622205257416
67,0.24952390789985657,0.1191876083612442
68,0.2522345781326294,0.12174765765666962
69,0.25474753975868225,0.12383610755205154
70,0.25718948245048523,0.1257345825433731
71,0.25958654284477234,0.12795349955558777
72,0.2617579698562622,0.12979550659656525
73,0.26494577527046204,0.13248789310455322
74,0.2667829692363739,0.133958101272583
75,0.26961567997932434,0.13700436055660248
76,0.2723652422428131,0.13994161784648895
77,0.2741437256336212,0.14117050170898438
78,0.2765934467315674,0.14360922574996948
79,0.2791917622089386,0.14593292772769928
80,0.2814294397830963,0.14770136773586273
81,0.28410807251930237,0.15000180900096893
82,0.2865493595600128,0.15211252868175507
83,0.2886136770248413,0.15400506556034088
84,0.2912294566631317,0.1563403457403183
85,0.293876588344574,0.15851779282093048
86,0.2963535487651825,0.16096258163452148
87,0.2991306781768799,0.1638360172510147
88,0.30109474062919617,0.16559147834777832
89,0.3030727803707123,0.1676032692193985
90,0.3053237795829773,0.16976171731948853
91,0.3073607385158539,0.1722124069929123
92,0.31002572178840637,0.17419646680355072
93,0.3121490776538849,0.17676259577274323
94,0.3131706416606903,0.17733986675739288
95,0.3152090311050415,0.1798873096704483
96,0.317151814699173,0.18232618272304535
97,0.3188512921333313,0.18444235622882843
98,0.32131361961364746,0.18693402409553528
99,0.3231084644794464,0.18886798620224
100,0.324409157037735,0.1904260516166687
101,0.32663673162460327,0.19329050183296204
102,0.32898426055908203,0.19612598419189453
103,0.32978320121765137,0.19744817912578583
104,0.33224567770957947,0.2007482349872589
105,0.3339637815952301,0.20289430022239685
106,0.3355596661567688,0.20473051071166992
107,0.33805614709854126,0.20716693997383118
108,0.33995091915130615,0.20963139832019806
109,0.34156477451324463,0.2108910232782364
110,0.3434825539588928,0.21329037845134735
111,0.345785528421402,0.21652613580226898
112,0.34728381037712097,0.21783052384853363
113,0.34946951270103455,0.2205331176519394
114,0.3508658707141876,0.22267594933509827
115,0.35326024889945984,0.2251702845096588
116,0.3546186089515686,0.22627222537994385
117,0.35624805092811584,0.22834597527980804
118,0.35891395807266235,0.23155230283737183
119,0.3605824112892151,0.23366178572177887
120,0.36198338866233826,0.23524220287799835
121,0.36404916644096375,0.23769421875476837
122,0.36585405468940735,0.24002528190612793
123,0.36769023537635803,0.2421676367521286
124,0.3689348101615906,0.2442556768655777
125,0.3712776303291321,0.24790649116039276
126,0.37349480390548706,0.2504797875881195
127,0.3747159540653229,0.25253942608833313
128,0.3759208917617798,0.254051148891449
129,0.37799346446990967,0.25785309076309204
130,0.37957319617271423,0.26013216376304626
131,0.3815261125564575,0.2629944086074829
132,0.3829427659511566,0.2651619017124176
133,0.3840029239654541,0.2662832736968994
134,0.38608482480049133,0.2693063020706177
135,0.387797474861145,0.27162912487983704
136,0.38942497968673706,0.2740355134010315
137,0.39070698618888855,0.2756943702697754
138,0.3922886550426483,0.27769985795021057
139,0.39361101388931274,0.2795850336551666
140,0.3951675295829773,0.281607449054718
141,0.39640215039253235,0.28314468264579773
142,0.3980536162853241,0.28580325841903687
143,0.3995042145252228,0.2873363196849823
144,0.4013541638851166,0.2899158000946045
145,0.4033013880252838,0.2929953932762146
146,0.4045557975769043,0.29462936520576477
147,0.4054374098777771,0.2953510880470276
148,0.4075789749622345,0.29889413714408875
149,0.4095214307308197,0.3016512095928192
150,0.41081759333610535,0.30320554971694946
151,0.4122970700263977,0.30525386333465576
152,0.41341719031333923,0.3064780831336975
153,0.4164864718914032,0.31103047728538513
154,0.4173794090747833,0.31227606534957886
155,0.42008087038993835,0.31591904163360596
156,0.42155447602272034,0.3183426558971405
157,0.42306315898895264,0.32028162479400635
158,0.4253842234611511,0.3234785497188568
159,0.42681634426116943,0.32511675357818604
160,0.4278295636177063,0.3265880048274994
161,0.43006232380867004,0.3290847837924957
162,0.4321562647819519,0.3320336937904358
163,0.4333651661872864,0.33358055353164673
164,0.4351353645324707,0.3363567292690277
165,0.43621817231178284,0.3377731740474701
166,0.4375784397125244,0.3395657539367676
167,0.4396253526210785,0.342619925737381
168,0.44080260396003723,0.3443359434604645
169,0.44216442108154297,0.34632110595703125
170,0.44434496760368347,0.34928154945373535
171,0.444291353225708,0.3501542806625366
172,0.4465966522693634,0.3533584475517273
173,0.4473884701728821,0.35472699999809265
174,0.4490199685096741,0.35741597414016724
175,0.45147600769996643,0.3607605993747711
176,0.452086865901947,0.3620014488697052
177,0.45288726687431335,0.3633118271827698
178,0.4539729058742523,0.3655148148536682
179,0.45580026507377625,0.36830195784568787
180,0.4580223858356476,0.3718544840812683
181,0.4591006338596344,0.37374579906463623
182,0.4611547291278839,0.3769281208515167
183,0.4611395299434662,0.3774832487106323
184,0.46301501989364624,0.3806583881378174
185,0.46422040462493896,0.38285917043685913
186,0.46557489037513733,0.38479599356651306
187,0.46702316403388977,0.38689520955085754
188,0.46958696842193604,0.3907613754272461
189,0.4710076153278351,0.39270344376564026
190,0.47337210178375244,0.39615321159362793
191,0.4752601385116577,0.39887893199920654
192,0.47689977288246155,0.4011141061782837
193,0.4777643382549286,0.4019806981086731
194,0.4796760082244873,0.4047885239124298
195,0.4808174967765808,0.4060332179069519
196,0.4834783375263214,0.41007518768310547
197,0.484607994556427,0.4116358757019043
198,0.48660945892333984,0.41469818353652954
199,0.48798105120658875,0.4163655936717987
200,0.48959967494010925,0.41909006237983704
201,0.4902934730052948,0.4199592173099518
202,0.49207058548927307,0.422293484210968
203,0.49281495809555054,0.42315199971199036
204,0.49492818117141724,0.4258252680301666
205,0.49571260809898376,0.4270145297050476
206,0.4976646304130554,0.42948976159095764
207,0.4985911250114441,0.43043753504753113
208,0.4998021125793457,0.43228691816329956
209,0.5013543367385864,0.43435099720954895
210,0.501680850982666,0.4347366392612457
211,0.5033391118049622,0.4371638596057892
212,0.5041700601577759,0.43866798281669617
213,0.5059111714363098,0.4408862292766571
214,0.5065202116966248,0.4416048526763916
215,0.508353590965271,0.44471070170402527
216,0.5093571543693542,0.44570091366767883
217,0.5118855834007263,0.45008406043052673
218,0.5117377638816833,0.4494892954826355
